document_id,review_title,review_url,product_name,flavor_a,flavor_b,pair_key,sentence,matched_categories,matched_terms,matched_negated_categories,matched_negated_terms,is_same_sentence_pair,has_explicit_mix_expression,explicit_mix_text,is_template_sentence,template_pattern,has_positive_expression,has_negative_expression,has_taste_role_explanation,role_detection_rule,role_action_term,role_effect_term,is_product_name_derived,is_parent_child_pair,parent_child_reason
R0061,MALAKI – Mojito(モヒート),https://cloud-jp.net/malaki-mojito/,MALAKI – Mojito(モヒート),ミント,レモン,ミント||レモン,・モヒート×マウンテンフォグ×レモン – 同系統のミックスで、ライムやレモンとの相性が非常に良いです。,evaluation:positive|experience:balance,相性|良い,,,False,False,,False,,True,False,False,,,,False,False,
R0064,MALAKI – Mint(ミント),https://cloud-jp.net/malaki-mint/,MALAKI – Mint(ミント),ミント,レモン,ミント||レモン,・ミント×レモン×ライチ – ミントの幅の広さを考え、あえて王道に近いミックスを選びました。,,,,,True,True,ミント×レモン,False,,False,False,False,,,,False,False,
R0170,旬-SHUN- LEMON,https://cloud-jp.net/shun-lemon/,旬-SHUN- LEMON,ミント,レモン,ミント||レモン,・【旬-SHUN-】 LEMON(30%)　＋　【旬-SHUN-】MINT(30%) ＋　【AZURE】LIME(40%),,,,,True,False,,False,,False,False,False,,,,False,False,
R0209,Social Smoke Grape Chill(グレープチル)レビュー,https://cloud-jp.net/socialsmoke-grapechill-review/,Social Smoke Grape Chill(グレープチル)レビュー,ミント,レモン,ミント||レモン,ミントの清涼感も加わってまさにファンタグレープのような味に仕上がっています。,experience:coolness,清涼感,,,False,False,,False,,False,False,False,,,,False,False,
R0209,Social Smoke Grape Chill(グレープチル)レビュー,https://cloud-jp.net/socialsmoke-grapechill-review/,Social Smoke Grape Chill(グレープチル)レビュー,ミント,レモン,ミント||レモン,ベリー系やマウンテンフォグ、ホワイトグミベア、レモン、ライムなどがおすすめです。,evaluation:positive,おすすめ,,,False,False,,False,,True,False,False,,,,False,False,
R0215,TRIFECTA Twice the Ice Xレビュー,https://cloud-jp.net/trifecta-twicetheicex-review/,TRIFECTA Twice the Ice Xレビュー,ミント,レモン,ミント||レモン,TRトゥワイスジアイスエックスはミントのフレーバーです。,,,,,False,False,,False,,False,False,False,,,,False,False,
R0215,TRIFECTA Twice the Ice Xレビュー,https://cloud-jp.net/trifecta-twicetheicex-review/,TRIFECTA Twice the Ice Xレビュー,ミント,レモン,ミント||レモン,しかし、ただのミントだと勘違いしてはいけません。,,,,,False,False,,False,,False,False,False,,,,False,False,
R0215,TRIFECTA Twice the Ice Xレビュー,https://cloud-jp.net/trifecta-twicetheicex-review/,TRIFECTA Twice the Ice Xレビュー,ミント,レモン,ミント||レモン,ミントは吸った後も喉の清涼感が持続するほどインパクトが強く、その中にほんのりと甘みがあるような気がします。,experience:coolness,清涼感,,,False,False,,False,,False,False,False,,,,False,False,
R0215,TRIFECTA Twice the Ice Xレビュー,https://cloud-jp.net/trifecta-twicetheicex-review/,TRIFECTA Twice the Ice Xレビュー,ミント,レモン,ミント||レモン,TRIFECTA Twice the Ice Xを使ったMIXにはレモンやグレープフルーツ、オレンジなどの柑橘系はバッチリです。,,,,,False,False,,False,,False,False,False,,,,False,False,
R0035,MALAKI – Wild(ワイルド),https://cloud-jp.net/malaki-wild/,MALAKI – Wild(ワイルド),アールグレイ,コニャック,アールグレイ||コニャック,・ワイルド×バニラ×コニャック – 甘さとスモーキーな香りを重ねて上品な香りを楽しむミックス。,experience:aroma,香り,,,False,False,,False,,False,False,False,,,,False,False,
R0035,MALAKI – Wild(ワイルド),https://cloud-jp.net/malaki-wild/,MALAKI – Wild(ワイルド),アールグレイ,コニャック,アールグレイ||コニャック,・ワイルド×ナワール×アールグレイ – お花と紅茶の香りを足して、ワイルドがいつものいい香りの後味をまとめてくれます。,experience:aroma,香り,,,False,False,,False,,False,False,False,,,,False,False,
R0037,MALAKI – Velvet(ベルベット),https://cloud-jp.net/malaki-velvet/,MALAKI – Velvet(ベルベット),アールグレイ,コニャック,アールグレイ||コニャック,・ワイルド×バニラ×コニャック – 甘さとスモーキーな香りを重ねて上品な香りを楽しむミックス。,experience:aroma,香り,,,False,False,,False,,False,False,False,,,,False,False,
R0037,MALAKI – Velvet(ベルベット),https://cloud-jp.net/malaki-velvet/,MALAKI – Velvet(ベルベット),アールグレイ,コニャック,アールグレイ||コニャック,・ワイルド×ナワール×アールグレイ – お花と紅茶の香りを足して、ワイルドがいつものいい香りの後味をまとめてくれます。,experience:aroma,香り,,,False,False,,False,,False,False,False,,,,False,False,
R0038,MALAKI – Specra(スペクトラ),https://cloud-jp.net/malaki-specra/,MALAKI – Specra(スペクトラ),アールグレイ,コニャック,アールグレイ||コニャック,・ワイルド×バニラ×コニャック – 甘さとスモーキーな香りを重ねて上品な香りを楽しむミックス。,experience:aroma,香り,,,False,False,,False,,False,False,False,,,,False,False,
R0038,MALAKI – Specra(スペクトラ),https://cloud-jp.net/malaki-specra/,MALAKI – Specra(スペクトラ),アールグレイ,コニャック,アールグレイ||コニャック,・ワイルド×ナワール×アールグレイ – お花と紅茶の香りを足して、ワイルドがいつものいい香りの後味をまとめてくれます。,experience:aroma,香り,,,False,False,,False,,False,False,False,,,,False,False,
R0039,MALAKI – Sour Asia(サワーアジア),https://cloud-jp.net/malaki-sourasia/,MALAKI – Sour Asia(サワーアジア),アールグレイ,コニャック,アールグレイ||コニャック,・ワイルド×バニラ×コニャック – 甘さとスモーキーな香りを重ねて上品な香りを楽しむミックス。,experience:aroma,香り,,,False,False,,False,,False,False,False,,,,False,False,
R0039,MALAKI – Sour Asia(サワーアジア),https://cloud-jp.net/malaki-sourasia/,MALAKI – Sour Asia(サワーアジア),アールグレイ,コニャック,アールグレイ||コニャック,・ワイルド×ナワール×アールグレイ – お花と紅茶の香りを足して、ワイルドがいつものいい香りの後味をまとめてくれます。,experience:aroma,香り,,,False,False,,False,,False,False,False,,,,False,False,
R0040,MALAKI – Lemon(レモン),https://cloud-jp.net/malaki-lemon/,MALAKI – Lemon(レモン),アールグレイ,コニャック,アールグレイ||コニャック,・ワイルド×バニラ×コニャック – 甘さとスモーキーな香りを重ねて上品な香りを楽しむミックス。,experience:aroma,香り,,,False,False,,False,,False,False,False,,,,False,False,
R0040,MALAKI – Lemon(レモン),https://cloud-jp.net/malaki-lemon/,MALAKI – Lemon(レモン),アールグレイ,コニャック,アールグレイ||コニャック,・ワイルド×ナワール×アールグレイ – お花と紅茶の香りを足して、ワイルドがいつものいい香りの後味をまとめてくれます。,experience:aroma,香り,,,False,False,,False,,False,False,False,,,,False,False,
R0035,MALAKI – Wild(ワイルド),https://cloud-jp.net/malaki-wild/,MALAKI – Wild(ワイルド),コニャック,バニラ,コニャック||バニラ,・ワイルド×バニラ×コニャック – 甘さとスモーキーな香りを重ねて上品な香りを楽しむミックス。,experience:aroma,香り,,,True,True,バニラ×コニャック,False,,False,False,False,,,,False,False,
R0037,MALAKI – Velvet(ベルベット),https://cloud-jp.net/malaki-velvet/,MALAKI – Velvet(ベルベット),コニャック,バニラ,コニャック||バニラ,・ワイルド×バニラ×コニャック – 甘さとスモーキーな香りを重ねて上品な香りを楽しむミックス。,experience:aroma,香り,,,True,True,バニラ×コニャック,False,,False,False,False,,,,False,False,
R0038,MALAKI – Specra(スペクトラ),https://cloud-jp.net/malaki-specra/,MALAKI – Specra(スペクトラ),コニャック,バニラ,コニャック||バニラ,・ワイルド×バニラ×コニャック – 甘さとスモーキーな香りを重ねて上品な香りを楽しむミックス。,experience:aroma,香り,,,True,True,バニラ×コニャック,False,,False,False,False,,,,False,False,
R0039,MALAKI – Sour Asia(サワーアジア),https://cloud-jp.net/malaki-sourasia/,MALAKI – Sour Asia(サワーアジア),コニャック,バニラ,コニャック||バニラ,・ワイルド×バニラ×コニャック – 甘さとスモーキーな香りを重ねて上品な香りを楽しむミックス。,experience:aroma,香り,,,True,True,バニラ×コニャック,False,,False,False,False,,,,False,False,
R0040,MALAKI – Lemon(レモン),https://cloud-jp.net/malaki-lemon/,MALAKI – Lemon(レモン),コニャック,バニラ,コニャック||バニラ,・ワイルド×バニラ×コニャック – 甘さとスモーキーな香りを重ねて上品な香りを楽しむミックス。,experience:aroma,香り,,,True,True,バニラ×コニャック,False,,False,False,False,,,,False,False,
R0035,MALAKI – Wild(ワイルド),https://cloud-jp.net/malaki-wild/,MALAKI – Wild(ワイルド),アールグレイ,バニラ,アールグレイ||バニラ,・ワイルド×バニラ×コニャック – 甘さとスモーキーな香りを重ねて上品な香りを楽しむミックス。,experience:aroma,香り,,,False,False,,False,,False,False,False,,,,False,False,
R0035,MALAKI – Wild(ワイルド),https://cloud-jp.net/malaki-wild/,MALAKI – Wild(ワイルド),アールグレイ,バニラ,アールグレイ||バニラ,・ワイルド×ナワール×アールグレイ – お花と紅茶の香りを足して、ワイルドがいつものいい香りの後味をまとめてくれます。,experience:aroma,香り,,,False,False,,False,,False,False,False,,,,False,False,
R0037,MALAKI – Velvet(ベルベット),https://cloud-jp.net/malaki-velvet/,MALAKI – Velvet(ベルベット),アールグレイ,バニラ,アールグレイ||バニラ,・ワイルド×バニラ×コニャック – 甘さとスモーキーな香りを重ねて上品な香りを楽しむミックス。,experience:aroma,香り,,,False,False,,False,,False,False,False,,,,False,False,
R0037,MALAKI – Velvet(ベルベット),https://cloud-jp.net/malaki-velvet/,MALAKI – Velvet(ベルベット),アールグレイ,バニラ,アールグレイ||バニラ,・ワイルド×ナワール×アールグレイ – お花と紅茶の香りを足して、ワイルドがいつものいい香りの後味をまとめてくれます。,experience:aroma,香り,,,False,False,,False,,False,False,False,,,,False,False,
R0038,MALAKI – Specra(スペクトラ),https://cloud-jp.net/malaki-specra/,MALAKI – Specra(スペクトラ),アールグレイ,バニラ,アールグレイ||バニラ,・ワイルド×バニラ×コニャック – 甘さとスモーキーな香りを重ねて上品な香りを楽しむミックス。,experience:aroma,香り,,,False,False,,False,,False,False,False,,,,False,False,
R0038,MALAKI – Specra(スペクトラ),https://cloud-jp.net/malaki-specra/,MALAKI – Specra(スペクトラ),アールグレイ,バニラ,アールグレイ||バニラ,・ワイルド×ナワール×アールグレイ – お花と紅茶の香りを足して、ワイルドがいつものいい香りの後味をまとめてくれます。,experience:aroma,香り,,,False,False,,False,,False,False,False,,,,False,False,
R0039,MALAKI – Sour Asia(サワーアジア),https://cloud-jp.net/malaki-sourasia/,MALAKI – Sour Asia(サワーアジア),アールグレイ,バニラ,アールグレイ||バニラ,・ワイルド×バニラ×コニャック – 甘さとスモーキーな香りを重ねて上品な香りを楽しむミックス。,experience:aroma,香り,,,False,False,,False,,False,False,False,,,,False,False,
R0039,MALAKI – Sour Asia(サワーアジア),https://cloud-jp.net/malaki-sourasia/,MALAKI – Sour Asia(サワーアジア),アールグレイ,バニラ,アールグレイ||バニラ,・ワイルド×ナワール×アールグレイ – お花と紅茶の香りを足して、ワイルドがいつものいい香りの後味をまとめてくれます。,experience:aroma,香り,,,False,False,,False,,False,False,False,,,,False,False,
R0040,MALAKI – Lemon(レモン),https://cloud-jp.net/malaki-lemon/,MALAKI – Lemon(レモン),アールグレイ,バニラ,アールグレイ||バニラ,・ワイルド×バニラ×コニャック – 甘さとスモーキーな香りを重ねて上品な香りを楽しむミックス。,experience:aroma,香り,,,False,False,,False,,False,False,False,,,,False,False,
R0040,MALAKI – Lemon(レモン),https://cloud-jp.net/malaki-lemon/,MALAKI – Lemon(レモン),アールグレイ,バニラ,アールグレイ||バニラ,・ワイルド×ナワール×アールグレイ – お花と紅茶の香りを足して、ワイルドがいつものいい香りの後味をまとめてくれます。,experience:aroma,香り,,,False,False,,False,,False,False,False,,,,False,False,
R0056,MALAKI – Bitter Sweet(ビタースイート),https://cloud-jp.net/malaki-bittersweet/,MALAKI – Bitter Sweet(ビタースイート),オレンジ,グレープフルーツ,オレンジ||グレープフルーツ,・ビタースイート×オレンジ×グレープフルーツ – ピールの風味が特徴的な柑橘系とのミックス。,taste:bitterness|taste:sweetness,スイート|ビター,,,True,True,オレンジ×グレープフルーツ,False,,False,False,False,,,,False,False,
R0097,Tabu – Pomelo(ポメロ)レビュー,https://cloud-jp.net/tabu-pomelo/,Tabu – Pomelo(ポメロ)レビュー,オレンジ,グレープフルーツ,オレンジ||グレープフルーツ,筆者である私と同様、ポメロをそもそも知らない方が多いと思うので他のフルーツに例えると、吸っている時は舌でオレンジのような甘味を感じ、吐くときにグレープフルーツのような酸味・ビターさを感じます。,taste:acidity|taste:bitterness,ビター|酸味,,,True,False,,False,,False,False,False,,,,False,False,
R0195,Al Fakher Grenadine(グレナデン)レビュー,https://cloud-jp.net/alfakher-grenadine-review/,Al Fakher Grenadine(グレナデン)レビュー,オレンジ,グレープフルーツ,オレンジ||グレープフルーツ,グアバやレモン、グレープフルーツ、オレンジ、ベリー系などとミックスすれば間違いなしです。,,,,,True,True,グレープフルーツ、オレンジ、ベリー系などとミックス,False,,False,False,False,,,,False,False,
R0201,Social Smoke TangerineRush(タンジェリンラッシュ)レビュー,https://cloud-jp.net/socialsmoke-tangerinerush-review/,Social Smoke TangerineRush(タンジェリンラッシュ)レビュー,オレンジ,グレープフルーツ,オレンジ||グレープフルーツ,SSのオレンジよりも、柑橘系の甘さがより前に出ていると感じられます。,,,,,False,False,,False,,False,False,False,,,,False,False,
R0201,Social Smoke TangerineRush(タンジェリンラッシュ)レビュー,https://cloud-jp.net/socialsmoke-tangerinerush-review/,Social Smoke TangerineRush(タンジェリンラッシュ)レビュー,オレンジ,グレープフルーツ,オレンジ||グレープフルーツ,Social Smoke のタンジェリンラッシュは、レモンやグレープフルーツなどの柑橘系はもちろんミントやマウンテンフォグなどもおすすめです。,evaluation:positive,おすすめ,,,False,False,,False,,True,False,False,,,,False,False,
R0215,TRIFECTA Twice the Ice Xレビュー,https://cloud-jp.net/trifecta-twicetheicex-review/,TRIFECTA Twice the Ice Xレビュー,オレンジ,グレープフルーツ,オレンジ||グレープフルーツ,TRIFECTA Twice the Ice Xを使ったMIXにはレモンやグレープフルーツ、オレンジなどの柑橘系はバッチリです。,,,,,True,False,,False,,False,False,False,,,,False,False,
R0061,MALAKI – Mojito(モヒート),https://cloud-jp.net/malaki-mojito/,MALAKI – Mojito(モヒート),ライム,レモン,ライム||レモン,・モヒート×マウンテンフォグ×レモン – 同系統のミックスで、ライムやレモンとの相性が非常に良いです。,evaluation:positive|experience:balance,相性|良い,,,True,False,,False,,True,False,False,,,,False,False,
R0170,旬-SHUN- LEMON,https://cloud-jp.net/shun-lemon/,旬-SHUN- LEMON,ライム,レモン,ライム||レモン,・【旬-SHUN-】 LEMON(30%)　＋　【旬-SHUN-】MINT(30%) ＋　【AZURE】LIME(40%),,,,,True,False,,False,,False,False,False,,,,False,False,
R0170,旬-SHUN- LEMON,https://cloud-jp.net/shun-lemon/,旬-SHUN- LEMON,ライム,レモン,ライム||レモン,・【旬-SHUN-】 LEMON(20%)　＋　【AZURE】MEXICOLA (50%) ＋　【AZURE】LIME(30%),,,,,True,False,,False,,False,False,False,,,,False,False,
R0186,Shiazo Woodruff(ウッドラフ)レビュー,https://cloud-jp.net/shiazo-woodruff/,Shiazo Woodruff(ウッドラフ)レビュー,ライム,レモン,ライム||レモン,Shiazo Woodruffを使ったおすすめのミックスは、このフレーバーのさっぱり、爽やかとしたフローラルな香りを活かすことができる、ライムやレモン、グレープフルーツなどの柑橘系フレーバーがおすすめです。,evaluation:positive|experience:aroma|experience:coolness,おすすめ|さっぱり|爽やか|香り,,,True,False,,True,おすすめのミックス,True,False,False,,,,False,False,
R0209,Social Smoke Grape Chill(グレープチル)レビュー,https://cloud-jp.net/socialsmoke-grapechill-review/,Social Smoke Grape Chill(グレープチル)レビュー,ライム,レモン,ライム||レモン,ベリー系やマウンテンフォグ、ホワイトグミベア、レモン、ライムなどがおすすめです。,evaluation:positive,おすすめ,,,True,False,,False,,True,False,False,,,,False,False,
R0217,TRIFECTA MountainFog(マウンテンフォグ)レビュー,https://cloud-jp.net/trifecta-mountainfog-review/,TRIFECTA MountainFog(マウンテンフォグ)レビュー,ライム,レモン,ライム||レモン,ライムはしっとりした甘さの中に少しビター（ケミカルな感じ）を感じ、それらをレモンがうまく引き立てています。,taste:bitterness,ビター,,,True,False,,False,,False,False,False,,,,False,False,
R0056,MALAKI – Bitter Sweet(ビタースイート),https://cloud-jp.net/malaki-bittersweet/,MALAKI – Bitter Sweet(ビタースイート),グアバ,グレープフルーツ,グアバ||グレープフルーツ,オレンジピールやグレープフルーツの苦味や渋味が強く感じられ、その奥に柑橘系の爽やかな香りが存在します。,experience:aroma|experience:coolness|taste:bitterness,爽やか|苦味|香り,,,False,False,,False,,False,False,False,,,,False,False,
R0056,MALAKI – Bitter Sweet(ビタースイート),https://cloud-jp.net/malaki-bittersweet/,MALAKI – Bitter Sweet(ビタースイート),グアバ,グレープフルーツ,グアバ||グレープフルーツ,・ビタースイート×オレンジ×グレープフルーツ – ピールの風味が特徴的な柑橘系とのミックス。,taste:bitterness|taste:sweetness,スイート|ビター,,,False,False,,False,,False,False,False,,,,False,False,
