ブランド,フレーバー名,価格,詳細URL
CHABA(チャバ) シーシャフレーバー 50ｇ,チェリー,1200,https://www.aslaj.com/view/item/000000002113?category_page_id=ct6
CHABA(チャバ) シーシャフレーバー 50ｇ,アイスグレープ,1200,https://www.aslaj.com/view/item/000000002112?category_page_id=ct6
CHABA(チャバ) シーシャフレーバー 50ｇ,フロスティーミント,1200,https://www.aslaj.com/view/item/000000002111?category_page_id=ct6
CHABA(チャバ) シーシャフレーバー 50ｇ,エルダーベリー,1200,https://www.aslaj.com/view/item/000000002110?category_page_id=ct6
CHABA(チャバ) シーシャフレーバー 50ｇ,ダブルアップル,1200,https://www.aslaj.com/view/item/000000002109?category_page_id=ct6
CHABA(チャバ) シーシャフレーバー 50ｇ,チャイニーズメロン,1200,https://www.aslaj.com/view/item/000000002108?category_page_id=ct6
CHABA(チャバ) シーシャフレーバー 50ｇ,クランベリーズ イン パウダーシュガー,1200,https://www.aslaj.com/view/item/000000002107?category_page_id=ct6
CHABA(チャバ) シーシャフレーバー 50ｇ,ブルーベリーミント,1200,https://www.aslaj.com/view/item/000000002106?category_page_id=ct6
afzal(アフザル) 　シーシャフレーバー 50g,クリームキャラメル,1750,https://www.aslaj.com/view/item/000000002104?category_page_id=ct6
afzal(アフザル) 　シーシャフレーバー 50g,レッドチェリー,1750,https://www.aslaj.com/view/item/000000002103?category_page_id=ct6
 LIRRA(リラ) シーシャフレーバー 50g,ICE GRAPEFRUIT(アイスグレープフルーツ),1650,https://www.aslaj.com/view/item/000000001569
 LIRRA(リラ) シーシャフレーバー 50g,MILK(ミルク),1650,https://www.aslaj.com/view/item/000000001563
不明,ソラリスボウル(素焼き&ストレート),3500,https://www.aslaj.com/view/item/000000000643
afzal(アフザル) 　シーシャフレーバー 50g,パンラース,1750,https://www.aslaj.com/view/item/000000002102?category_page_id=ct6
afzal(アフザル) 　シーシャフレーバー 50g,スペシャルパン,1750,https://www.aslaj.com/view/item/000000002101?category_page_id=ct6
AL FAKHER（アルファーヘル）,ローズ 50g,1550,https://www.aslaj.com/view/item/000000002079?category_page_id=ct6
DARKSIDE シーシャフレーバー,VIRGIN PEACH 2.0(バージンピーチ),4400,https://www.aslaj.com/view/item/000000002057?category_page_id=ct6
DARKSIDE シーシャフレーバー,SUPERMINT(スーパーミント),4400,https://www.aslaj.com/view/item/000000002056?category_page_id=ct6
DARKSIDE シーシャフレーバー,SPACE JAM(スペースジャム),4400,https://www.aslaj.com/view/item/000000002055?category_page_id=ct6
DARKSIDE シーシャフレーバー,SALBEI(サルベイ),4400,https://www.aslaj.com/view/item/000000002054?category_page_id=ct6
DARKSIDE シーシャフレーバー,POMELOW(ポメロ),4400,https://www.aslaj.com/view/item/000000002053?category_page_id=ct6
DARKSIDE シーシャフレーバー,CYBER KIWI(サイバーキウイ),4400,https://www.aslaj.com/view/item/000000002051?category_page_id=ct6
DARKSIDE シーシャフレーバー,BOUNTY HUNTER(バウンティーハンター),4400,https://www.aslaj.com/view/item/000000002050?category_page_id=ct6
DARKSIDE シーシャフレーバー,BLUEBERRY BLAST(ブルーベリーブラスト),4400,https://www.aslaj.com/view/item/000000002049?category_page_id=ct6
DARKSIDE シーシャフレーバー,KILLER MILK(キラーミルク),4400,https://www.aslaj.com/view/item/000000002013?category_page_id=ct6
DARKSIDE シーシャフレーバー,HONEY DUST(ハニーダスト),4400,https://www.aslaj.com/view/item/000000002012?category_page_id=ct6
DARKSIDE シーシャフレーバー,DARK ICECREAM(ダークアイスクリーム),4400,https://www.aslaj.com/view/item/000000002011?category_page_id=ct6
DARKSIDE シーシャフレーバー,GREEN MIST(グリーンミスト),4400,https://www.aslaj.com/view/item/000000002010?category_page_id=ct6
DARKSIDE シーシャフレーバー,BERGAMONSTR (ベルガモンスター),4400,https://www.aslaj.com/view/item/000000002009?category_page_id=ct6
DARKSIDE シーシャフレーバー,GUAVA REBEL(グアバレベル),4400,https://www.aslaj.com/view/item/000000002008?category_page_id=ct6
DARKSIDE シーシャフレーバー,MANGO LASSI 2.0(マンゴーラッシー),4400,https://www.aslaj.com/view/item/000000002007?category_page_id=ct6
DARKSIDE シーシャフレーバー,DARK PASSION(ダークパッション),4400,https://www.aslaj.com/view/item/000000002006?category_page_id=ct6
DARKSIDE シーシャフレーバー,BARVY ORANGE(バービーオレンジ),4400,https://www.aslaj.com/view/item/000000002005?category_page_id=ct6
MALAKI(マラキ)　　 シーシャフレーバー 50g,アイスドミント,1850,https://www.aslaj.com/view/item/000000001986?category_page_id=ct6
khaleej(ハリージ) 50g シーシャフレーバー,グリーンミント,1700,https://www.aslaj.com/view/item/000000001983?category_page_id=ct6
DOZAJ(ドザジ) シーシャフレーバー 50g,グリーンティー,1750,https://www.aslaj.com/view/item/000000001982?category_page_id=ct6
DOZAJ(ドザジ) シーシャフレーバー 50g,セサミ,1750,https://www.aslaj.com/view/item/000000001981?category_page_id=ct6
DOZAJ(ドザジ) シーシャフレーバー 50g,ピスタチオ,1750,https://www.aslaj.com/view/item/000000001980?category_page_id=ct6
DOZAJ(ドザジ) シーシャフレーバー 50g,ゆず,1750,https://www.aslaj.com/view/item/000000001979?category_page_id=ct6
DOZAJ(ドザジ) シーシャフレーバー 50g,マンゴー,1750,https://www.aslaj.com/view/item/000000001978?category_page_id=ct6
DOZAJ(ドザジ) シーシャフレーバー 50g,ピーチ,1750,https://www.aslaj.com/view/item/000000001977?category_page_id=ct6
Debaj  (デバジ)50g　シーシャフレーバー,マルガリータ,1650,https://www.aslaj.com/view/item/000000001970?category_page_id=ct6
DARKSIDE シーシャフレーバー,COSMOS(コスモス),4400,https://www.aslaj.com/view/item/000000001969?category_page_id=ct6
DARKSIDE シーシャフレーバー,C.R.E.A.M.S.O.D.A.(クリームソーダ),4400,https://www.aslaj.com/view/item/000000001968?category_page_id=ct6
DARKSIDE シーシャフレーバー,DARKSUPRA(ダークスープラ),4400,https://www.aslaj.com/view/item/000000001967?category_page_id=ct6
DARKSIDE シーシャフレーバー,NEEDLS(ニードルス),4400,https://www.aslaj.com/view/item/000000001966?category_page_id=ct6
DARKSIDE シーシャフレーバー,TROPIC RAY(トロピックレイ),4400,https://www.aslaj.com/view/item/000000001965?category_page_id=ct6
DARKSIDE シーシャフレーバー,CHERRY ROCKS(チェリーロックス),4400,https://www.aslaj.com/view/item/000000001964?category_page_id=ct6
DARKSIDE シーシャフレーバー,GENERIS RASPBERRY(ジェネライズ ラズベリー),4400,https://www.aslaj.com/view/item/000000001963?category_page_id=ct6
DARKSIDE シーシャフレーバー,BANANAPAPA(バナナパパ),4400,https://www.aslaj.com/view/item/000000001962?category_page_id=ct6
DARKSIDE シーシャフレーバー,WILD FOREST(ワイルドフォレスト),4400,https://www.aslaj.com/view/item/000000001961?category_page_id=ct6
DARKSIDE シーシャフレーバー,WILD BERRY(ワイルドベリー),4400,https://www.aslaj.com/view/item/000000001960?category_page_id=ct6
DARKSIDE シーシャフレーバー,FALLING STAR(フォーリングスター),4400,https://www.aslaj.com/view/item/000000001959?category_page_id=ct6
DARKSIDE シーシャフレーバー,RED ALERT(レッドアラート),4400,https://www.aslaj.com/view/item/000000001958?category_page_id=ct6
DARKSIDE シーシャフレーバー,COSMO FLOWER(コスモフラワー),4400,https://www.aslaj.com/view/item/000000001957?category_page_id=ct6
DARKSIDE シーシャフレーバー,PINEAPPLE PULSE(パイナップルパルス),4400,https://www.aslaj.com/view/item/000000001956?category_page_id=ct6
DARKSIDE シーシャフレーバー,KALEE GRAPEFRUIT 2.0(カリーグレープフルーツ),4400,https://www.aslaj.com/view/item/000000001955?category_page_id=ct6
DARKSIDE シーシャフレーバー,ICE GRANNY(アイスグラニー),4400,https://www.aslaj.com/view/item/000000001954?category_page_id=ct6
DARKSIDE シーシャフレーバー,LEMONBLAST(レモンブラスト),4400,https://www.aslaj.com/view/item/000000001953?category_page_id=ct6
DARKSIDE シーシャフレーバー,GRAPE CORE(グレープコア),4400,https://www.aslaj.com/view/item/000000001952?category_page_id=ct6
DARKSIDE シーシャフレーバー,DARKSIDE COLA(ダークサイド コーラ),4400,https://www.aslaj.com/view/item/000000001951?category_page_id=ct6
 LIRRA(リラ) シーシャフレーバー 50g,ICE GRAPEFRUIT(アイスグレープフルーツ),1650,https://www.aslaj.com/view/item/000000001569
 LIRRA(リラ) シーシャフレーバー 50g,MILK(ミルク),1650,https://www.aslaj.com/view/item/000000001563
不明,ソラリスボウル(素焼き&ストレート),3500,https://www.aslaj.com/view/item/000000000643
DARKSIDE シーシャフレーバー,SUPERNOVA(スーパーノヴァ),4400,https://www.aslaj.com/view/item/000000001950?category_page_id=ct6
LIRRA(リラ) シーシャフレーバー 50g,LEMON GRASS(レモングラス),1650,https://www.aslaj.com/view/item/000000001927?category_page_id=ct6
LIRRA(リラ) シーシャフレーバー 50g,SAKURAMOCHI(サクラモチ),1650,https://www.aslaj.com/view/item/000000001926?category_page_id=ct6
LIRRA(リラ) シーシャフレーバー 50g,THE MEISTER(ザ・マイスター),1650,https://www.aslaj.com/view/item/000000001925?category_page_id=ct6
LIRRA(リラ) シーシャフレーバー 50g,WHITE MUSK(ホワイトムスク),1650,https://www.aslaj.com/view/item/000000001924?category_page_id=ct6
LIRRA(リラ) シーシャフレーバー 50g,EVENING JASMINE(イブニングジャスミン),1650,https://www.aslaj.com/view/item/000000001923?category_page_id=ct6
LIRRA(リラ) シーシャフレーバー 50g,GINGER(ジンジャー),1650,https://www.aslaj.com/view/item/000000001922?category_page_id=ct6
LIRRA(リラ) シーシャフレーバー 50g,CARDAMON(カルダモン),1650,https://www.aslaj.com/view/item/000000001921?category_page_id=ct6
LIRRA(リラ) シーシャフレーバー 50g,RASPBERRY(ラズベリー),1650,https://www.aslaj.com/view/item/000000001920?category_page_id=ct6
AL FAKHER（アルファーヘル） シーシャフレーバー 50g,マンゴー,1550,https://www.aslaj.com/view/item/000000001918?category_page_id=ct6
AL FAKHER（アルファーヘル） シーシャフレーバー 50g,ストロベリー,1550,https://www.aslaj.com/view/item/000000001915?category_page_id=ct6
AL FAKHER（アルファーヘル） シーシャフレーバー 50g,ココナッツ,1550,https://www.aslaj.com/view/item/000000001914?category_page_id=ct6
Dozaj(ドザジ)　　 シーシャフレーバー 50g,プロビス,1750,https://www.aslaj.com/view/item/000000001899?category_page_id=ct6
khaleej(ハリージ) 50g シーシャフレーバー,ピーチ,1700,https://www.aslaj.com/view/item/000000001889?category_page_id=ct6
khaleej(ハリージ) 50g シーシャフレーバー,ラズベリー,1700,https://www.aslaj.com/view/item/000000001888?category_page_id=ct6
khaleej(ハリージ) 50g シーシャフレーバー,ストロベリー,1700,https://www.aslaj.com/view/item/000000001887?category_page_id=ct6
khaleej(ハリージ) 50g シーシャフレーバー,ダブルレモン,1700,https://www.aslaj.com/view/item/000000001886?category_page_id=ct6
khaleej(ハリージ) 50g シーシャフレーバー,スーパーレモン,1700,https://www.aslaj.com/view/item/000000001885?category_page_id=ct6
khaleej(ハリージ) 50g シーシャフレーバー,キウイ,1700,https://www.aslaj.com/view/item/000000001884?category_page_id=ct6
Dozaj Black(ドザジ ブラック) シーシャフレーバー 100g,POMEGRANTE JUICE,4000,https://www.aslaj.com/view/item/000000001830?category_page_id=ct6
Dozaj Black(ドザジ ブラック) シーシャフレーバー 100g,CASH PEACH,4000,https://www.aslaj.com/view/item/000000001828?category_page_id=ct6
 LIRRA(リラ) シーシャフレーバー 50g,MOJITO(モヒート),1650,https://www.aslaj.com/view/item/000000001827?category_page_id=ct6
 LIRRA(リラ) シーシャフレーバー 50g,LIME(ライム),1650,https://www.aslaj.com/view/item/000000001826?category_page_id=ct6
Debaj  (デバジ)50g　シーシャフレーバー,グリーンレモン,1650,https://www.aslaj.com/view/item/000000001823?category_page_id=ct6
Dozaj Black(ドザジ ブラック) シーシャフレーバー 100g,Smoothie,4000,https://www.aslaj.com/view/item/000000001816?category_page_id=ct6
Dozaj Black(ドザジ ブラック) シーシャフレーバー 100g,Ice Cola,4000,https://www.aslaj.com/view/item/000000001815?category_page_id=ct6
Dozaj Black(ドザジ ブラック) シーシャフレーバー 100g,Earl Grey,4000,https://www.aslaj.com/view/item/000000001814?category_page_id=ct6
Dozaj Black(ドザジ ブラック) シーシャフレーバー 100g,Yellow Crumble,4000,https://www.aslaj.com/view/item/000000001813?category_page_id=ct6
Dozaj Black(ドザジ ブラック) シーシャフレーバー 100g,Walnut Tree,4000,https://www.aslaj.com/view/item/000000001812?category_page_id=ct6
Dozaj Black(ドザジ ブラック) シーシャフレーバー 100g,Illegal,4000,https://www.aslaj.com/view/item/000000001810?category_page_id=ct6
Dozaj Black(ドザジ ブラック) シーシャフレーバー 100g,Darth Wader,4000,https://www.aslaj.com/view/item/000000001808?category_page_id=ct6
Dozaj Black(ドザジ ブラック) シーシャフレーバー 100g,White Cash,4000,https://www.aslaj.com/view/item/000000001807?category_page_id=ct6
Dozaj Black(ドザジ ブラック) シーシャフレーバー 100g,El Clasico,4000,https://www.aslaj.com/view/item/000000001799?category_page_id=ct6
Dozaj(ドザジ)　　 シーシャフレーバー 50g,ガムマスティック,1750,https://www.aslaj.com/view/item/000000001798?category_page_id=ct6
Dozaj(ドザジ)　　 シーシャフレーバー 50g,ビスケット,1750,https://www.aslaj.com/view/item/000000001797?category_page_id=ct6
Dozaj(ドザジ)　　 シーシャフレーバー 50g,アーモンド,1750,https://www.aslaj.com/view/item/000000001796?category_page_id=ct6
Dozaj(ドザジ)　　 シーシャフレーバー 50g,カルダモン,1750,https://www.aslaj.com/view/item/000000001795?category_page_id=ct6
Dozaj(ドザジ)　　 シーシャフレーバー 50g,ブルーベリー,1750,https://www.aslaj.com/view/item/000000001794?category_page_id=ct6
AL FAKHER(アルファーヘル)　　 シーシャフレーバー 50g,カプチーノ,1550,https://www.aslaj.com/view/item/000000001793?category_page_id=ct6
afzal(アフザル) 　シーシャフレーバー 50g,ジンジャーエール,1750,https://www.aslaj.com/view/item/000000001791?category_page_id=ct6
afzal(アフザル) 　シーシャフレーバー 50g,アールグレイ,1750,https://www.aslaj.com/view/item/000000001790?category_page_id=ct6
MALAKI(マラキ)　　 シーシャフレーバー 50g,バニラ,1850,https://www.aslaj.com/view/item/000000001786?category_page_id=ct6
MALAKI(マラキ)　　 シーシャフレーバー 50g,キウイ,1850,https://www.aslaj.com/view/item/000000001785?category_page_id=ct6
MALAKI(マラキ)　　 シーシャフレーバー 50g,ストロベリー,1850,https://www.aslaj.com/view/item/000000001784?category_page_id=ct6
 LIRRA(リラ) シーシャフレーバー 50g,KASHMIR(カシミール),1650,https://www.aslaj.com/view/item/000000001761?category_page_id=ct6
 LIRRA(リラ) シーシャフレーバー 50g,ROSE(ローズ),1650,https://www.aslaj.com/view/item/000000001760?category_page_id=ct6
不明,バター　- Dozaj(ドザジ)　　 シーシャフレーバー 50g,1750,https://www.aslaj.com/view/item/000000001759?category_page_id=ct6
不明,パンケーキ　- Dozaj(ドザジ)　　 シーシャフレーバー 50g,1750,https://www.aslaj.com/view/item/000000001757?category_page_id=ct6
 LIRRA(リラ) シーシャフレーバー 50g,ICE GRAPEFRUIT(アイスグレープフルーツ),1650,https://www.aslaj.com/view/item/000000001569
 LIRRA(リラ) シーシャフレーバー 50g,MILK(ミルク),1650,https://www.aslaj.com/view/item/000000001563
不明,ソラリスボウル(素焼き&ストレート),3500,https://www.aslaj.com/view/item/000000000643
不明,キウイ　- Dozaj(ドザジ)　　 シーシャフレーバー 50g,1750,https://www.aslaj.com/view/item/000000001756?category_page_id=ct6
不明,オレンジ- Dozaj(ドザジ)　　 シーシャフレーバー 50g,1750,https://www.aslaj.com/view/item/000000001755?category_page_id=ct6
ROYAL SMOKIN シーシャフレーバー 50g,PINK MISCHIEF (ピンクミスチーフ),1750,https://www.aslaj.com/view/item/000000001752?category_page_id=ct6
ROYAL SMOKIN シーシャフレーバー 50g,LEMON GINGER (レモンジンジャー),1750,https://www.aslaj.com/view/item/000000001751?category_page_id=ct6
ROYAL SMOKIN シーシャフレーバー 50g,HONEY (ハニー),1750,https://www.aslaj.com/view/item/000000001750?category_page_id=ct6
 LIRRA(リラ) シーシャフレーバー 50g,PEANUT(ピーナッツ),1650,https://www.aslaj.com/view/item/000000001748?category_page_id=ct6
 LIRRA(リラ) シーシャフレーバー 50g,ROSEMARY(ローズマリー),1650,https://www.aslaj.com/view/item/000000001747?category_page_id=ct6
不明,ラズベリー　　- Debaj  (デバジ)50g　シーシャフレーバー,1650,https://www.aslaj.com/view/item/000000001689?category_page_id=ct6
不明,ブルーベリー　- Debaj  (デバジ)50g　シーシャフレーバー,1650,https://www.aslaj.com/view/item/000000001687?category_page_id=ct6
不明,デクラウド　あずき,990,https://www.aslaj.com/view/item/000000001674?category_page_id=ct6
不明,デクラウド　ゆず,990,https://www.aslaj.com/view/item/000000001672?category_page_id=ct6
不明,デクラウド　ブルーベリー,990,https://www.aslaj.com/view/item/000000001671?category_page_id=ct6
不明,デクラウド　ココナッツ,990,https://www.aslaj.com/view/item/000000001670?category_page_id=ct6
不明,デクラウド　ハニー,990,https://www.aslaj.com/view/item/000000001669?category_page_id=ct6
不明,デクラウド　ベリー,990,https://www.aslaj.com/view/item/000000001668?category_page_id=ct6
不明,デクラウド　チェリー,990,https://www.aslaj.com/view/item/000000001667?category_page_id=ct6
 LIRRA(リラ) シーシャフレーバー 50g,ROYAL TEA(ロイヤルティー),1650,https://www.aslaj.com/view/item/000000001657?category_page_id=ct6
 LIRRA(リラ) シーシャフレーバー 50g,BUBBLE GUM(バブルガム),1650,https://www.aslaj.com/view/item/000000001656?category_page_id=ct6
 LIRRA(リラ) シーシャフレーバー 50g,CARAMEL(キャラメル),1650,https://www.aslaj.com/view/item/000000001655?category_page_id=ct6
 LIRRA(リラ) シーシャフレーバー 50g,MINT(ミント),1650,https://www.aslaj.com/view/item/000000001654?category_page_id=ct6
 LIRRA(リラ) シーシャフレーバー 50g,LEMON(レモン),1650,https://www.aslaj.com/view/item/000000001653?category_page_id=ct6
不明,カルダモンミルク- Debaj  (デバジ)50g　シーシャフレーバー,1650,https://www.aslaj.com/view/item/000000001650?category_page_id=ct6
不明,ツーレモン- Debaj  (デバジ)50g　シーシャフレーバー,1650,https://www.aslaj.com/view/item/000000001648?category_page_id=ct6
AL FAKHER(アルファーヘル)　　 シーシャフレーバー 50g,レモン,1550,https://www.aslaj.com/view/item/000000001642?category_page_id=ct6
Al Fakhamah  シーシャフレーバー 50g,クリーム,1800,https://www.aslaj.com/view/item/000000001640?category_page_id=ct6
Al Fakhamah  シーシャフレーバー 50g,カルダモン,1800,https://www.aslaj.com/view/item/000000001639?category_page_id=ct6
Al Fakhamah  シーシャフレーバー 50g,パイナップル,1800,https://www.aslaj.com/view/item/000000001638?category_page_id=ct6
Al Fakhamah  シーシャフレーバー 50g,ライム,1800,https://www.aslaj.com/view/item/000000001637?category_page_id=ct6
Al Fakhamah  シーシャフレーバー 50g,レモン,1800,https://www.aslaj.com/view/item/000000001636?category_page_id=ct6
Al Fakhamah  シーシャフレーバー 50g,マスティカ,1800,https://www.aslaj.com/view/item/000000001635?category_page_id=ct6
Al Fakhamah  シーシャフレーバー 50g,エキゾチックジャスミン,1800,https://www.aslaj.com/view/item/000000001633?category_page_id=ct6
Al Fakhamah  シーシャフレーバー 50g,シナモン,1800,https://www.aslaj.com/view/item/000000001632?category_page_id=ct6
Al Fakhamah  シーシャフレーバー 50g,パッションフルーツ,1800,https://www.aslaj.com/view/item/000000001631?category_page_id=ct6
不明,デクラウド　抹茶,990,https://www.aslaj.com/view/item/000000001627?category_page_id=ct6
不明,デクラウド　カシス,990,https://www.aslaj.com/view/item/000000001625?category_page_id=ct6
AL FAKHER(アルファーヘル)　　 シーシャフレーバー 50g,ピーチ,1550,https://www.aslaj.com/view/item/000000001624?category_page_id=ct6
AL FAKHER(アルファーヘル)　　 シーシャフレーバー 50g,バニラ,1550,https://www.aslaj.com/view/item/000000001623?category_page_id=ct6
AL FAKHER(アルファーヘル)　　 シーシャフレーバー 50g,グアバ,1550,https://www.aslaj.com/view/item/000000001620?category_page_id=ct6
AL FAKHER(アルファーヘル)　　 シーシャフレーバー 50g,ブルーベリー,1550,https://www.aslaj.com/view/item/000000001619?category_page_id=ct6
 LIRRA(リラ) シーシャフレーバー 50g,JUICY MELON(ジューシーメロン),1650,https://www.aslaj.com/view/item/000000001572?category_page_id=ct6
 LIRRA(リラ) シーシャフレーバー 50g,ICE CANDY(アイスキャンディー),1650,https://www.aslaj.com/view/item/000000001571?category_page_id=ct6
 LIRRA(リラ) シーシャフレーバー 50g,PINEAPPLE(パイナップル),1650,https://www.aslaj.com/view/item/000000001570?category_page_id=ct6
 LIRRA(リラ) シーシャフレーバー 50g,ICE GRAPEFRUIT(アイスグレープフルーツ),1650,https://www.aslaj.com/view/item/000000001569?category_page_id=ct6
 LIRRA(リラ) シーシャフレーバー 50g,PISTACHIO BREEZE(ピスタチオブリーズ),1650,https://www.aslaj.com/view/item/000000001567?category_page_id=ct6
 LIRRA(リラ) シーシャフレーバー 50g,MIMOSA(ミモザ),1650,https://www.aslaj.com/view/item/000000001566?category_page_id=ct6
 LIRRA(リラ) シーシャフレーバー 50g,TWO APPLE(ツーアップル),1650,https://www.aslaj.com/view/item/000000001565?category_page_id=ct6
 LIRRA(リラ) シーシャフレーバー 50g,ACAI(アサイー),1650,https://www.aslaj.com/view/item/000000001564?category_page_id=ct6
 LIRRA(リラ) シーシャフレーバー 50g,MILK(ミルク),1650,https://www.aslaj.com/view/item/000000001563?category_page_id=ct6
 LIRRA(リラ) シーシャフレーバー 50g,ICE GRAPEFRUIT(アイスグレープフルーツ),1650,https://www.aslaj.com/view/item/000000001569
 LIRRA(リラ) シーシャフレーバー 50g,MILK(ミルク),1650,https://www.aslaj.com/view/item/000000001563
不明,ソラリスボウル(素焼き&ストレート),3500,https://www.aslaj.com/view/item/000000000643
MALAKI(マラキ)　　 シーシャフレーバー 50g,リコリス,1850,https://www.aslaj.com/view/item/000000001555?category_page_id=ct6
MALAKI(マラキ)　　 シーシャフレーバー 50g,ベリーグレープ,1850,https://www.aslaj.com/view/item/000000001554?category_page_id=ct6
不明,スペクトラ- MALAKI(マラキ)　　 シーシャフレーバー 50g,1850,https://www.aslaj.com/view/item/000000001551?category_page_id=ct6
不明,グラニーズキス- MALAKI(マラキ)　　 シーシャフレーバー 50g,1850,https://www.aslaj.com/view/item/000000001550?category_page_id=ct6
不明,ロマンス- MALAKI(マラキ)　　 シーシャフレーバー 50g,1850,https://www.aslaj.com/view/item/000000001548?category_page_id=ct6
不明,コパカバーナ- MALAKI(マラキ)　　 シーシャフレーバー 50g,1850,https://www.aslaj.com/view/item/000000001542?category_page_id=ct6
