article_id,article_url,table_index,row_index,cell_index,section_heading,cell_text,is_recommended_mix_section
lagos_af-coconut-review,https://shisha-lagos.com/af-coconut-review/,2,3,1,Al Fakherココナッツの重さは?,やや重い,False
lagos_af-coconut-review,https://shisha-lagos.com/af-coconut-review/,2,3,2,Al Fakherココナッツの重さは?,ブルーベリー/ストロベリー/キウイ オレンジ/ピーチ マンゴー/グアバ/グレープ/ローズ,False
lagos_af-coconut-review,https://shisha-lagos.com/af-coconut-review/,2,4,1,Al Fakherココナッツの重さは?,重い,False
lagos_af-coconut-review,https://shisha-lagos.com/af-coconut-review/,2,4,2,Al Fakherココナッツの重さは?,ココナッツ /バニラ/カルダモン チョコレート/カプチーノ,False
lagos_af-coconut-review,https://shisha-lagos.com/af-coconut-review/,3,1,1,Al Fakherココナッツのおすすめミックス,フルーツ系,True
lagos_af-coconut-review,https://shisha-lagos.com/af-coconut-review/,3,1,2,Al Fakherココナッツのおすすめミックス,スイーツ系,True
lagos_af-coconut-review,https://shisha-lagos.com/af-coconut-review/,3,1,3,Al Fakherココナッツのおすすめミックス,スパイス/フローラル系,True
lagos_af-coconut-review,https://shisha-lagos.com/af-coconut-review/,3,2,1,Al Fakherココナッツのおすすめミックス,ピーチ/マンゴー パイン/ライチ ストロベリー/レモン ブルーベリー/メロン ライム,True
lagos_af-coconut-review,https://shisha-lagos.com/af-coconut-review/,3,2,2,Al Fakherココナッツのおすすめミックス,バニラ/ミルク キャラメル/コーヒー チョコレート,True
lagos_af-coconut-review,https://shisha-lagos.com/af-coconut-review/,3,2,3,Al Fakherココナッツのおすすめミックス,カルダモン ジンジャーエール アールグレイ シナモン,True
lagos_af-orange-review,https://shisha-lagos.com/af-orange-review/,1,1,1,Al Fakherオレンジの特徴,温度,False
lagos_af-orange-review,https://shisha-lagos.com/af-orange-review/,1,1,2,Al Fakherオレンジの特徴,味の変化,False
lagos_af-orange-review,https://shisha-lagos.com/af-orange-review/,1,2,1,Al Fakherオレンジの特徴,中低温,False
lagos_af-orange-review,https://shisha-lagos.com/af-orange-review/,1,2,2,Al Fakherオレンジの特徴,ガムっぽさ/シロップ感/ほのかな甘さ,False
lagos_af-orange-review,https://shisha-lagos.com/af-orange-review/,1,3,1,Al Fakherオレンジの特徴,高温,False
lagos_af-orange-review,https://shisha-lagos.com/af-orange-review/,1,3,2,Al Fakherオレンジの特徴,果実味のある甘さ/ピール感,False
lagos_af-orange-review,https://shisha-lagos.com/af-orange-review/,2,1,1,Al Fakherオレンジの重さは?,とても重い,False
lagos_af-orange-review,https://shisha-lagos.com/af-orange-review/,2,1,2,Al Fakherオレンジの重さは?,ミント/ツーアップル,False
lagos_af-orange-review,https://shisha-lagos.com/af-orange-review/,2,2,1,Al Fakherオレンジの重さは?,かなり重い,False
lagos_af-orange-review,https://shisha-lagos.com/af-orange-review/,2,2,2,Al Fakherオレンジの重さは?,グレープフルーツ/グレナデン スイカ/メロン/レモン,False
lagos_af-orange-review,https://shisha-lagos.com/af-orange-review/,2,3,1,Al Fakherオレンジの重さは?,やや重い,False
lagos_af-orange-review,https://shisha-lagos.com/af-orange-review/,2,3,2,Al Fakherオレンジの重さは?,ブルーベリー/ストロベリー/キウイ オレンジ /ピーチ マンゴー/グアバ/グレープ/ローズ,False
lagos_af-orange-review,https://shisha-lagos.com/af-orange-review/,2,4,1,Al Fakherオレンジの重さは?,重い,False
lagos_af-orange-review,https://shisha-lagos.com/af-orange-review/,2,4,2,Al Fakherオレンジの重さは?,ココナッツ/バニラ/カルダモン チョコレート/カプチーノ,False
lagos_af-orange-review,https://shisha-lagos.com/af-orange-review/,3,1,1,Al Fakherオレンジのおすすめミックス,フルーツ系,True
lagos_af-orange-review,https://shisha-lagos.com/af-orange-review/,3,1,2,Al Fakherオレンジのおすすめミックス,スイーツ系,True
lagos_af-orange-review,https://shisha-lagos.com/af-orange-review/,3,1,3,Al Fakherオレンジのおすすめミックス,スパイス/フローラル系,True
lagos_af-orange-review,https://shisha-lagos.com/af-orange-review/,3,2,1,Al Fakherオレンジのおすすめミックス,レモン/ライム グレープフルーツ パッションフルーツ グアバ/マンゴー ピーチ/グレナデン パイン/りんご メロン,True
lagos_af-orange-review,https://shisha-lagos.com/af-orange-review/,3,2,2,Al Fakherオレンジのおすすめミックス,バニラ/ミルク チョコレート,True
lagos_af-orange-review,https://shisha-lagos.com/af-orange-review/,3,2,3,Al Fakherオレンジのおすすめミックス,カルダモン シナモン ジンジャーエール アールグレイ ジャスミン,True
lagos_af-mango-review,https://shisha-lagos.com/af-mango-review/,1,1,1,Al Fakherマンゴーの特徴,温度,False
lagos_af-mango-review,https://shisha-lagos.com/af-mango-review/,1,1,2,Al Fakherマンゴーの特徴,味の変化,False
lagos_af-mango-review,https://shisha-lagos.com/af-mango-review/,1,2,1,Al Fakherマンゴーの特徴,中低温,False
lagos_af-mango-review,https://shisha-lagos.com/af-mango-review/,1,2,2,Al Fakherマンゴーの特徴,熟していない青み/やや酸味,False
lagos_af-mango-review,https://shisha-lagos.com/af-mango-review/,1,3,1,Al Fakherマンゴーの特徴,高温,False
lagos_af-mango-review,https://shisha-lagos.com/af-mango-review/,1,3,2,Al Fakherマンゴーの特徴,やや青み/少しの甘み/やや酸味,False
lagos_af-mango-review,https://shisha-lagos.com/af-mango-review/,2,1,1,Al Fakherマンゴーの重さは?,とても重い,False
lagos_af-mango-review,https://shisha-lagos.com/af-mango-review/,2,1,2,Al Fakherマンゴーの重さは?,ミント/ツーアップル,False
lagos_af-mango-review,https://shisha-lagos.com/af-mango-review/,2,2,1,Al Fakherマンゴーの重さは?,かなり重い,False
lagos_af-mango-review,https://shisha-lagos.com/af-mango-review/,2,2,2,Al Fakherマンゴーの重さは?,グレープフルーツ/グレナデン スイカ/メロン/レモン,False
lagos_af-mango-review,https://shisha-lagos.com/af-mango-review/,2,3,1,Al Fakherマンゴーの重さは?,やや重い,False
lagos_af-mango-review,https://shisha-lagos.com/af-mango-review/,2,3,2,Al Fakherマンゴーの重さは?,ブルーベリー/ストロベリー/キウイ オレンジ/ピーチ マンゴー /グアバ/グレープ/ローズ,False
lagos_af-mango-review,https://shisha-lagos.com/af-mango-review/,2,4,1,Al Fakherマンゴーの重さは?,重い,False
lagos_af-mango-review,https://shisha-lagos.com/af-mango-review/,2,4,2,Al Fakherマンゴーの重さは?,ココナッツ/バニラ/カルダモン チョコレート/カプチーノ,False
lagos_af-mango-review,https://shisha-lagos.com/af-mango-review/,3,1,1,Al Fakherマンゴーのおすすめミックス,フルーツ系,True
lagos_af-mango-review,https://shisha-lagos.com/af-mango-review/,3,1,2,Al Fakherマンゴーのおすすめミックス,スイーツ系,True
lagos_af-mango-review,https://shisha-lagos.com/af-mango-review/,3,1,3,Al Fakherマンゴーのおすすめミックス,スパイス/フローラル系,True
lagos_af-mango-review,https://shisha-lagos.com/af-mango-review/,3,2,1,Al Fakherマンゴーのおすすめミックス,ピーチ/グアバ レモン/オレンジ ゆず/グレープ パッションフルーツ パイン/ココナッツ,True
lagos_af-mango-review,https://shisha-lagos.com/af-mango-review/,3,2,2,Al Fakherマンゴーのおすすめミックス,バニラ/ミルク,True
lagos_af-mango-review,https://shisha-lagos.com/af-mango-review/,3,2,3,Al Fakherマンゴーのおすすめミックス,ジンジャーエール カルダモン アールグレイ,True
lagos_af-grapefruit-review,https://shisha-lagos.com/af-grapefruit-review/,1,1,1,Al Fakherグレープフルーツの特徴,温度,False
lagos_af-grapefruit-review,https://shisha-lagos.com/af-grapefruit-review/,1,1,2,Al Fakherグレープフルーツの特徴,味の変化,False
lagos_af-grapefruit-review,https://shisha-lagos.com/af-grapefruit-review/,1,2,1,Al Fakherグレープフルーツの特徴,中低温,False
lagos_af-grapefruit-review,https://shisha-lagos.com/af-grapefruit-review/,1,2,2,Al Fakherグレープフルーツの特徴,ほのかな甘さ/ピール感/苦味,False
lagos_af-grapefruit-review,https://shisha-lagos.com/af-grapefruit-review/,1,3,1,Al Fakherグレープフルーツの特徴,高温,False
lagos_af-grapefruit-review,https://shisha-lagos.com/af-grapefruit-review/,1,3,2,Al Fakherグレープフルーツの特徴,柑橘由来の甘さ/豆のような粒感,False
lagos_af-grapefruit-review,https://shisha-lagos.com/af-grapefruit-review/,2,1,1,Al Fakherグレープフルーツの重さは?,とても重い,False
lagos_af-grapefruit-review,https://shisha-lagos.com/af-grapefruit-review/,2,1,2,Al Fakherグレープフルーツの重さは?,ミント/ツーアップル,False
lagos_af-grapefruit-review,https://shisha-lagos.com/af-grapefruit-review/,2,2,1,Al Fakherグレープフルーツの重さは?,かなり重い,False
lagos_af-grapefruit-review,https://shisha-lagos.com/af-grapefruit-review/,2,2,2,Al Fakherグレープフルーツの重さは?,グレープフルーツ /グレナデン スイカ/メロン/レモン,False
lagos_af-grapefruit-review,https://shisha-lagos.com/af-grapefruit-review/,2,3,1,Al Fakherグレープフルーツの重さは?,やや重い,False
lagos_af-grapefruit-review,https://shisha-lagos.com/af-grapefruit-review/,2,3,2,Al Fakherグレープフルーツの重さは?,ブルーベリー/ストロベリー/キウイ オレンジ/ピーチ マンゴー/グアバ/グレープ/ローズ,False
lagos_af-grapefruit-review,https://shisha-lagos.com/af-grapefruit-review/,2,4,1,Al Fakherグレープフルーツの重さは?,重い,False
lagos_af-grapefruit-review,https://shisha-lagos.com/af-grapefruit-review/,2,4,2,Al Fakherグレープフルーツの重さは?,ココナッツ/バニラ/カルダモン チョコレート/カプチーノ,False
lagos_af-grapefruit-review,https://shisha-lagos.com/af-grapefruit-review/,3,1,1,Al Fakherグレープフルーツのおすすめミックス,フルーツ系,True
lagos_af-grapefruit-review,https://shisha-lagos.com/af-grapefruit-review/,3,1,2,Al Fakherグレープフルーツのおすすめミックス,スイーツ系,True
lagos_af-grapefruit-review,https://shisha-lagos.com/af-grapefruit-review/,3,1,3,Al Fakherグレープフルーツのおすすめミックス,スパイス/フローラル系,True
lagos_af-grapefruit-review,https://shisha-lagos.com/af-grapefruit-review/,3,2,1,Al Fakherグレープフルーツのおすすめミックス,レモン/オレンジ グアバ/グレープ グレナデン/ピーチ パッションフルーツ,True
lagos_af-grapefruit-review,https://shisha-lagos.com/af-grapefruit-review/,3,2,2,Al Fakherグレープフルーツのおすすめミックス,ハニー,True
lagos_af-grapefruit-review,https://shisha-lagos.com/af-grapefruit-review/,3,2,3,Al Fakherグレープフルーツのおすすめミックス,ジャスミン カルダモン ツーアップル,True
lagos_af-mint-review,https://shisha-lagos.com/af-mint-review/,1,1,1,Al Fakherミントの特徴,温度,False
lagos_af-mint-review,https://shisha-lagos.com/af-mint-review/,1,1,2,Al Fakherミントの特徴,味の変化,False
lagos_af-mint-review,https://shisha-lagos.com/af-mint-review/,1,2,1,Al Fakherミントの特徴,中低温,False
lagos_af-mint-review,https://shisha-lagos.com/af-mint-review/,1,2,2,Al Fakherミントの特徴,ミントの葉の甘み/ゆるやかな清涼感,False
lagos_af-mint-review,https://shisha-lagos.com/af-mint-review/,1,3,1,Al Fakherミントの特徴,高温,False
lagos_af-mint-review,https://shisha-lagos.com/af-mint-review/,1,3,2,Al Fakherミントの特徴,強い清涼感/ドライな味わい,False
lagos_af-mint-review,https://shisha-lagos.com/af-mint-review/,2,1,1,Al Fakherミントの重さは?,とても重い,False
lagos_af-mint-review,https://shisha-lagos.com/af-mint-review/,2,1,2,Al Fakherミントの重さは?,ミント /ツーアップル,False
lagos_af-mint-review,https://shisha-lagos.com/af-mint-review/,2,2,1,Al Fakherミントの重さは?,かなり重い,False
lagos_af-mint-review,https://shisha-lagos.com/af-mint-review/,2,2,2,Al Fakherミントの重さは?,グレープフルーツ/グレナデン スイカ/メロン/レモン,False
lagos_af-mint-review,https://shisha-lagos.com/af-mint-review/,2,3,1,Al Fakherミントの重さは?,やや重い,False
lagos_af-mint-review,https://shisha-lagos.com/af-mint-review/,2,3,2,Al Fakherミントの重さは?,ブルーベリー/ストロベリー/キウイ オレンジ/ピーチ マンゴー/グアバ/グレープ/ローズ,False
lagos_af-mint-review,https://shisha-lagos.com/af-mint-review/,2,4,1,Al Fakherミントの重さは?,重い,False
lagos_af-mint-review,https://shisha-lagos.com/af-mint-review/,2,4,2,Al Fakherミントの重さは?,ココナッツ/バニラ/カルダモン チョコレート/カプチーノ,False
lagos_af-mint-review,https://shisha-lagos.com/af-mint-review/,3,1,1,Al Fakherミントのおすすめミックス,フルーツ系,True
lagos_af-mint-review,https://shisha-lagos.com/af-mint-review/,3,1,2,Al Fakherミントのおすすめミックス,スイーツ系,True
lagos_af-mint-review,https://shisha-lagos.com/af-mint-review/,3,1,3,Al Fakherミントのおすすめミックス,スパイス系,True
lagos_af-mint-review,https://shisha-lagos.com/af-mint-review/,3,2,1,Al Fakherミントのおすすめミックス,レモン/ライム/オレンジ グレープフルーツ/ゆず グアバ/マンゴー/ピーチ ブルーベリー/ラズベリー ライチ/キウイ/プラム パッションフルーツ パイン,True
lagos_af-mint-review,https://shisha-lagos.com/af-mint-review/,3,2,2,Al Fakherミントのおすすめミックス,バニラ/ミルク チョコレート,True
lagos_af-mint-review,https://shisha-lagos.com/af-mint-review/,3,2,3,Al Fakherミントのおすすめミックス,シナモン アールグレイ カルダモン ローズ ジャスミン,True
lagos_af-vanilla-review,https://shisha-lagos.com/af-vanilla-review/,1,1,1,Al Fakherバニラの特徴,温度,False
lagos_af-vanilla-review,https://shisha-lagos.com/af-vanilla-review/,1,1,2,Al Fakherバニラの特徴,味の変化,False
lagos_af-vanilla-review,https://shisha-lagos.com/af-vanilla-review/,1,2,1,Al Fakherバニラの特徴,中低温,False
lagos_af-vanilla-review,https://shisha-lagos.com/af-vanilla-review/,1,2,2,Al Fakherバニラの特徴,ほのかな甘み/小麦感,False
lagos_af-vanilla-review,https://shisha-lagos.com/af-vanilla-review/,1,3,1,Al Fakherバニラの特徴,高温,False
lagos_af-vanilla-review,https://shisha-lagos.com/af-vanilla-review/,1,3,2,Al Fakherバニラの特徴,バニラ香と甘み/焼き菓子感,False
lagos_af-vanilla-review,https://shisha-lagos.com/af-vanilla-review/,2,1,1,Al Fakherバニラの重さは?,とても重い,False
lagos_af-vanilla-review,https://shisha-lagos.com/af-vanilla-review/,2,1,2,Al Fakherバニラの重さは?,ミント/ツーアップル,False
lagos_af-vanilla-review,https://shisha-lagos.com/af-vanilla-review/,2,2,1,Al Fakherバニラの重さは?,かなり重い,False
lagos_af-vanilla-review,https://shisha-lagos.com/af-vanilla-review/,2,2,2,Al Fakherバニラの重さは?,グレープフルーツ/グレナデン スイカ/メロン/レモン,False
lagos_af-vanilla-review,https://shisha-lagos.com/af-vanilla-review/,2,3,1,Al Fakherバニラの重さは?,やや重い,False
lagos_af-vanilla-review,https://shisha-lagos.com/af-vanilla-review/,2,3,2,Al Fakherバニラの重さは?,ブルーベリー/ストロベリー/キウイ オレンジ/ピーチ マンゴー/グアバ/グレープ/ローズ,False
lagos_af-vanilla-review,https://shisha-lagos.com/af-vanilla-review/,2,4,1,Al Fakherバニラの重さは?,重い,False
lagos_af-vanilla-review,https://shisha-lagos.com/af-vanilla-review/,2,4,2,Al Fakherバニラの重さは?,ココナッツ/ バニラ /カルダモン チョコレート/カプチーノ,False
lagos_af-vanilla-review,https://shisha-lagos.com/af-vanilla-review/,3,1,1,Al Fakherバニラのおすすめミックス,フルーツ系,True
lagos_af-vanilla-review,https://shisha-lagos.com/af-vanilla-review/,3,1,2,Al Fakherバニラのおすすめミックス,スイーツ系,True
lagos_af-vanilla-review,https://shisha-lagos.com/af-vanilla-review/,3,1,3,Al Fakherバニラのおすすめミックス,スパイス/フローラル系,True
lagos_af-vanilla-review,https://shisha-lagos.com/af-vanilla-review/,3,2,1,Al Fakherバニラのおすすめミックス,ストロベリー/バナナ ピーチ/マンゴー ブルーベリー/ライチ 洋ナシ/ラズベリー メロン/すいか ココナッツ/オレンジ,True
lagos_af-vanilla-review,https://shisha-lagos.com/af-vanilla-review/,3,2,2,Al Fakherバニラのおすすめミックス,ミルク/コーヒー キャラメル ミルクティ,True
lagos_af-vanilla-review,https://shisha-lagos.com/af-vanilla-review/,3,2,3,Al Fakherバニラのおすすめミックス,チャイ/シナモン カルダモン アールグレイ ローズ,True
lagos_af-melon-review,https://shisha-lagos.com/af-melon-review/,1,1,1,Al Fakherメロンの特徴,温度,False
lagos_af-melon-review,https://shisha-lagos.com/af-melon-review/,1,1,2,Al Fakherメロンの特徴,味の変化,False
lagos_af-melon-review,https://shisha-lagos.com/af-melon-review/,1,2,1,Al Fakherメロンの特徴,中低温,False
lagos_af-melon-review,https://shisha-lagos.com/af-melon-review/,1,2,2,Al Fakherメロンの特徴,ほのかな甘み/瓜っぽさ/青み,False
lagos_af-melon-review,https://shisha-lagos.com/af-melon-review/,1,3,1,Al Fakherメロンの特徴,高温,False
lagos_af-melon-review,https://shisha-lagos.com/af-melon-review/,1,3,2,Al Fakherメロンの特徴,果肉の甘さ/やや瓜っぽい青み,False
lagos_af-melon-review,https://shisha-lagos.com/af-melon-review/,2,1,1,Al Fakherメロンの重さは?,とても重い,False
lagos_af-melon-review,https://shisha-lagos.com/af-melon-review/,2,1,2,Al Fakherメロンの重さは?,ミント/ツーアップル,False
lagos_af-melon-review,https://shisha-lagos.com/af-melon-review/,2,2,1,Al Fakherメロンの重さは?,かなり重い,False
lagos_af-melon-review,https://shisha-lagos.com/af-melon-review/,2,2,2,Al Fakherメロンの重さは?,グレープフルーツ/グレナデン スイカ/ メロン /レモン,False
lagos_af-melon-review,https://shisha-lagos.com/af-melon-review/,2,3,1,Al Fakherメロンの重さは?,やや重い,False
lagos_af-melon-review,https://shisha-lagos.com/af-melon-review/,2,3,2,Al Fakherメロンの重さは?,ブルーベリー/ストロベリー/キウイ オレンジ/ピーチ マンゴー/グアバ/グレープ/ローズ,False
lagos_af-melon-review,https://shisha-lagos.com/af-melon-review/,2,4,1,Al Fakherメロンの重さは?,重い,False
lagos_af-melon-review,https://shisha-lagos.com/af-melon-review/,2,4,2,Al Fakherメロンの重さは?,ココナッツ/バニラ/カルダモン チョコレート/カプチーノ,False
lagos_af-melon-review,https://shisha-lagos.com/af-melon-review/,3,1,1,Al Fakherメロンのおすすめミックス,フルーツ系,True
lagos_af-melon-review,https://shisha-lagos.com/af-melon-review/,3,1,2,Al Fakherメロンのおすすめミックス,スイーツ系,True
lagos_af-melon-review,https://shisha-lagos.com/af-melon-review/,3,1,3,Al Fakherメロンのおすすめミックス,スパイス/フローラル系,True
lagos_af-melon-review,https://shisha-lagos.com/af-melon-review/,3,2,1,Al Fakherメロンのおすすめミックス,スイカ/グアバ オレンジ/レモン ピーチ/ココナッツ ライチ/マンゴー,True
lagos_af-melon-review,https://shisha-lagos.com/af-melon-review/,3,2,2,Al Fakherメロンのおすすめミックス,バニラ/ミルク キャラメル,True
lagos_af-melon-review,https://shisha-lagos.com/af-melon-review/,3,2,3,Al Fakherメロンのおすすめミックス,カルダモン シナモン ローズ,True
lagos_af-grenadine-review,https://shisha-lagos.com/af-grenadine-review/,1,1,1,Al Fakherグレナデンの特徴,温度,False
lagos_af-grenadine-review,https://shisha-lagos.com/af-grenadine-review/,1,1,2,Al Fakherグレナデンの特徴,味の変化,False
lagos_af-grenadine-review,https://shisha-lagos.com/af-grenadine-review/,1,2,1,Al Fakherグレナデンの特徴,中低温,False
lagos_af-grenadine-review,https://shisha-lagos.com/af-grenadine-review/,1,2,2,Al Fakherグレナデンの特徴,甘み/ややチョコやコーヒーのような香り,False
lagos_af-grenadine-review,https://shisha-lagos.com/af-grenadine-review/,1,3,1,Al Fakherグレナデンの特徴,高温,False
lagos_af-grenadine-review,https://shisha-lagos.com/af-grenadine-review/,1,3,2,Al Fakherグレナデンの特徴,甘酸っぱさ/酸味/ややチェリーの香り,False
lagos_af-grenadine-review,https://shisha-lagos.com/af-grenadine-review/,2,1,1,Al Fakherグレナデンの重さは?,とても重い,False
lagos_af-grenadine-review,https://shisha-lagos.com/af-grenadine-review/,2,1,2,Al Fakherグレナデンの重さは?,ミント/ツーアップル,False
lagos_af-grenadine-review,https://shisha-lagos.com/af-grenadine-review/,2,2,1,Al Fakherグレナデンの重さは?,かなり重い,False
lagos_af-grenadine-review,https://shisha-lagos.com/af-grenadine-review/,2,2,2,Al Fakherグレナデンの重さは?,グレープフルーツ/ グレナデン スイカ/メロン/レモン,False
lagos_af-grenadine-review,https://shisha-lagos.com/af-grenadine-review/,2,3,1,Al Fakherグレナデンの重さは?,やや重い,False
lagos_af-grenadine-review,https://shisha-lagos.com/af-grenadine-review/,2,3,2,Al Fakherグレナデンの重さは?,ブルーベリー/ストロベリー/キウイ オレンジ/ピーチ マンゴー/グアバ/グレープ/ローズ,False
lagos_af-grenadine-review,https://shisha-lagos.com/af-grenadine-review/,2,4,1,Al Fakherグレナデンの重さは?,重い,False
lagos_af-grenadine-review,https://shisha-lagos.com/af-grenadine-review/,2,4,2,Al Fakherグレナデンの重さは?,ココナッツ/バニラ/カルダモン チョコレート/カプチーノ,False
lagos_af-grenadine-review,https://shisha-lagos.com/af-grenadine-review/,3,1,1,Al Fakherグレナデンのおすすめミックス,フルーツ系,True
lagos_af-grenadine-review,https://shisha-lagos.com/af-grenadine-review/,3,1,2,Al Fakherグレナデンのおすすめミックス,スイーツ系,True
lagos_af-grenadine-review,https://shisha-lagos.com/af-grenadine-review/,3,1,3,Al Fakherグレナデンのおすすめミックス,スパイス/フローラル系,True
lagos_af-grenadine-review,https://shisha-lagos.com/af-grenadine-review/,3,2,1,Al Fakherグレナデンのおすすめミックス,ブルーベリー/ラズベリー キウイ/チェリー ストロベリー/レモン パッションフルーツ ライチ/グレープフルーツ オレンジ/ピーチ,True
lagos_af-grenadine-review,https://shisha-lagos.com/af-grenadine-review/,3,2,2,Al Fakherグレナデンのおすすめミックス,ミルク/ハニー,True
lagos_af-grenadine-review,https://shisha-lagos.com/af-grenadine-review/,3,2,3,Al Fakherグレナデンのおすすめミックス,カルダモン/アールグレイ シナモン/ローズ,True
lagos_af-kiwi-review,https://shisha-lagos.com/af-kiwi-review/,1,1,1,Al Fakherキウイの特徴,温度,False
lagos_af-kiwi-review,https://shisha-lagos.com/af-kiwi-review/,1,1,2,Al Fakherキウイの特徴,味の変化,False
lagos_af-kiwi-review,https://shisha-lagos.com/af-kiwi-review/,1,2,1,Al Fakherキウイの特徴,中低温,False
lagos_af-kiwi-review,https://shisha-lagos.com/af-kiwi-review/,1,2,2,Al Fakherキウイの特徴,甘さ/少し強い青み/やや酸味,False
lagos_af-kiwi-review,https://shisha-lagos.com/af-kiwi-review/,1,3,1,Al Fakherキウイの特徴,高温,False
lagos_af-kiwi-review,https://shisha-lagos.com/af-kiwi-review/,1,3,2,Al Fakherキウイの特徴,酸味/やや青み,False
lagos_af-kiwi-review,https://shisha-lagos.com/af-kiwi-review/,2,1,1,Al Fakherキウイの重さは?,とても重い,False
lagos_af-kiwi-review,https://shisha-lagos.com/af-kiwi-review/,2,1,2,Al Fakherキウイの重さは?,ミント/ツーアップル,False
lagos_af-kiwi-review,https://shisha-lagos.com/af-kiwi-review/,2,2,1,Al Fakherキウイの重さは?,かなり重い,False
lagos_af-kiwi-review,https://shisha-lagos.com/af-kiwi-review/,2,2,2,Al Fakherキウイの重さは?,グレープフルーツ/グレナデン スイカ/メロン/レモン,False
lagos_af-kiwi-review,https://shisha-lagos.com/af-kiwi-review/,2,3,1,Al Fakherキウイの重さは?,やや重い,False
