mix_pair_key,flavor_a,flavor_b,lagos_article_count,lagos_row_count,lagos_article_urls,target_flavor,recommended_flavor,directed_pair,source_text
キャラメル||ココナッツ,キャラメル,ココナッツ,1,1,https://shisha-lagos.com/af-coconut-review/,ココナッツ,キャラメル,ココナッツ -> キャラメル,バニラ/ミルク キャラメル/コーヒー チョコレート
キャラメル||バニラ,キャラメル,バニラ,1,1,https://shisha-lagos.com/af-vanilla-review/,バニラ,キャラメル,バニラ -> キャラメル,ミルク/コーヒー キャラメル ミルクティ
キャラメル||ブルーベリー,キャラメル,ブルーベリー,1,1,https://shisha-lagos.com/af-blueberry-review/,ブルーベリー,キャラメル,ブルーベリー -> キャラメル,バニラ/ミルク キャラメル
キャラメル||メロン,キャラメル,メロン,1,1,https://shisha-lagos.com/af-melon-review/,メロン,キャラメル,メロン -> キャラメル,バニラ/ミルク キャラメル
グアバ||グレープフルーツ,グアバ,グレープフルーツ,1,1,https://shisha-lagos.com/af-grapefruit-review/,グレープフルーツ,グアバ,グレープフルーツ -> グアバ,レモン/オレンジ グアバ/グレープ グレナデン/ピーチ パッションフルーツ
グアバ||ピーチ,グアバ,ピーチ,1,1,https://shisha-lagos.com/af-peach-review/,ピーチ,グアバ,ピーチ -> グアバ,マンゴー/ココナッツ オレンジ/バナナ/ グアバ/ライチ グレナデン/レモン パッションフルーツ
グアバ||ブルーベリー,グアバ,ブルーベリー,1,1,https://shisha-lagos.com/af-blueberry-review/,ブルーベリー,グアバ,ブルーベリー -> グアバ,ストロベリー/ザクロ ライチ パッションフルーツ ラズベリー/グアバ レモン/ココナッツ グレープ
グアバ||マンゴー,グアバ,マンゴー,1,1,https://shisha-lagos.com/af-mango-review/,マンゴー,グアバ,マンゴー -> グアバ,ピーチ/グアバ レモン/オレンジ ゆず/グレープ パッションフルーツ パイン/ココナッツ
グアバ||ミント,グアバ,ミント,1,1,https://shisha-lagos.com/af-mint-review/,ミント,グアバ,ミント -> グアバ,レモン/ライム/オレンジ グレープフルーツ/ゆず グアバ/マンゴー/ピーチ ブルーベリー/ラズベリー ライチ/キウイ/プラム パッションフルーツ パイン
グアバ||メロン,グアバ,メロン,1,1,https://shisha-lagos.com/af-melon-review/,メロン,グアバ,メロン -> グアバ,スイカ/グアバ オレンジ/レモン ピーチ/ココナッツ ライチ/マンゴー
グレープ||ブルーベリー,グレープ,ブルーベリー,1,1,https://shisha-lagos.com/af-blueberry-review/,ブルーベリー,グレープ,ブルーベリー -> グレープ,ストロベリー/ザクロ ライチ パッションフルーツ ラズベリー/グアバ レモン/ココナッツ グレープ
グレープ||マンゴー,グレープ,マンゴー,1,1,https://shisha-lagos.com/af-mango-review/,マンゴー,グレープ,マンゴー -> グレープ,ピーチ/グアバ レモン/オレンジ ゆず/グレープ パッションフルーツ パイン/ココナッツ
グレープフルーツ||ジャスミン,グレープフルーツ,ジャスミン,1,1,https://shisha-lagos.com/af-grapefruit-review/,グレープフルーツ,ジャスミン,グレープフルーツ -> ジャスミン,ジャスミン カルダモン ツーアップル
グレープフルーツ||ツーアップル,グレープフルーツ,ツーアップル,1,1,https://shisha-lagos.com/af-grapefruit-review/,グレープフルーツ,ツーアップル,グレープフルーツ -> ツーアップル,ジャスミン カルダモン ツーアップル
グレープフルーツ||ハニー,グレープフルーツ,ハニー,1,1,https://shisha-lagos.com/af-grapefruit-review/,グレープフルーツ,ハニー,グレープフルーツ -> ハニー,ハニー
グレープフルーツ||パッションフルーツ,グレープフルーツ,パッションフルーツ,1,1,https://shisha-lagos.com/af-grapefruit-review/,グレープフルーツ,パッションフルーツ,グレープフルーツ -> パッションフルーツ,レモン/オレンジ グアバ/グレープ グレナデン/ピーチ パッションフルーツ
グレープフルーツ||ピーチ,グレープフルーツ,ピーチ,1,1,https://shisha-lagos.com/af-grapefruit-review/,グレープフルーツ,ピーチ,グレープフルーツ -> ピーチ,レモン/オレンジ グアバ/グレープ グレナデン/ピーチ パッションフルーツ
グレープフルーツ||ミント,グレープフルーツ,ミント,1,1,https://shisha-lagos.com/af-mint-review/,ミント,グレープフルーツ,ミント -> グレープフルーツ,レモン/ライム/オレンジ グレープフルーツ/ゆず グアバ/マンゴー/ピーチ ブルーベリー/ラズベリー ライチ/キウイ/プラム パッションフルーツ パイン
グレープフルーツ||レモン,グレープフルーツ,レモン,1,1,https://shisha-lagos.com/af-grapefruit-review/,グレープフルーツ,レモン,グレープフルーツ -> レモン,レモン/オレンジ グアバ/グレープ グレナデン/ピーチ パッションフルーツ
ココナッツ||シナモン,ココナッツ,シナモン,1,1,https://shisha-lagos.com/af-coconut-review/,ココナッツ,シナモン,ココナッツ -> シナモン,カルダモン ジンジャーエール アールグレイ シナモン
ココナッツ||ジンジャーエール,ココナッツ,ジンジャーエール,1,1,https://shisha-lagos.com/af-coconut-review/,ココナッツ,ジンジャーエール,ココナッツ -> ジンジャーエール,カルダモン ジンジャーエール アールグレイ シナモン
ココナッツ||チョコレート,ココナッツ,チョコレート,1,1,https://shisha-lagos.com/af-coconut-review/,ココナッツ,チョコレート,ココナッツ -> チョコレート,バニラ/ミルク キャラメル/コーヒー チョコレート
ココナッツ||ミルク,ココナッツ,ミルク,1,1,https://shisha-lagos.com/af-coconut-review/,ココナッツ,ミルク,ココナッツ -> ミルク,バニラ/ミルク キャラメル/コーヒー チョコレート
ココナッツ||ライチ,ココナッツ,ライチ,1,1,https://shisha-lagos.com/af-coconut-review/,ココナッツ,ライチ,ココナッツ -> ライチ,ピーチ/マンゴー パイン/ライチ ストロベリー/レモン ブルーベリー/メロン ライム
ココナッツ||ライム,ココナッツ,ライム,1,1,https://shisha-lagos.com/af-coconut-review/,ココナッツ,ライム,ココナッツ -> ライム,ピーチ/マンゴー パイン/ライチ ストロベリー/レモン ブルーベリー/メロン ライム
ココナッツ||レモン,ココナッツ,レモン,1,1,https://shisha-lagos.com/af-coconut-review/,ココナッツ,レモン,ココナッツ -> レモン,ピーチ/マンゴー パイン/ライチ ストロベリー/レモン ブルーベリー/メロン ライム
ザクロ||ブルーベリー,ザクロ,ブルーベリー,1,1,https://shisha-lagos.com/af-blueberry-review/,ブルーベリー,ザクロ,ブルーベリー -> ザクロ,ストロベリー/ザクロ ライチ パッションフルーツ ラズベリー/グアバ レモン/ココナッツ グレープ
シナモン||ストロベリー,シナモン,ストロベリー,1,1,https://shisha-lagos.com/af-strawberry-review/,ストロベリー,シナモン,ストロベリー -> シナモン,シナモン/ローズ
シナモン||バニラ,シナモン,バニラ,1,1,https://shisha-lagos.com/af-vanilla-review/,バニラ,シナモン,バニラ -> シナモン,チャイ/シナモン カルダモン アールグレイ ローズ
シナモン||ブルーベリー,シナモン,ブルーベリー,1,1,https://shisha-lagos.com/af-blueberry-review/,ブルーベリー,シナモン,ブルーベリー -> シナモン,シナモン/カルダモン ジャスミン/ローズ
シナモン||ミント,シナモン,ミント,1,1,https://shisha-lagos.com/af-mint-review/,ミント,シナモン,ミント -> シナモン,シナモン アールグレイ カルダモン ローズ ジャスミン
シナモン||メロン,シナモン,メロン,1,1,https://shisha-lagos.com/af-melon-review/,メロン,シナモン,メロン -> シナモン,カルダモン シナモン ローズ
ジャスミン||ピーチ,ジャスミン,ピーチ,1,1,https://shisha-lagos.com/af-peach-review/,ピーチ,ジャスミン,ピーチ -> ジャスミン,カルダモン/ジャスミン アールグレイ/ローズ
ジャスミン||ブルーベリー,ジャスミン,ブルーベリー,1,1,https://shisha-lagos.com/af-blueberry-review/,ブルーベリー,ジャスミン,ブルーベリー -> ジャスミン,シナモン/カルダモン ジャスミン/ローズ
ジャスミン||ミント,ジャスミン,ミント,1,1,https://shisha-lagos.com/af-mint-review/,ミント,ジャスミン,ミント -> ジャスミン,シナモン アールグレイ カルダモン ローズ ジャスミン
ジンジャーエール||マンゴー,ジンジャーエール,マンゴー,1,1,https://shisha-lagos.com/af-mango-review/,マンゴー,ジンジャーエール,マンゴー -> ジンジャーエール,ジンジャーエール カルダモン アールグレイ
ストロベリー||チョコレート,ストロベリー,チョコレート,1,1,https://shisha-lagos.com/af-strawberry-review/,ストロベリー,チョコレート,ストロベリー -> チョコレート,バニラ/ミルク チョコレート
ストロベリー||ミルク,ストロベリー,ミルク,1,1,https://shisha-lagos.com/af-strawberry-review/,ストロベリー,ミルク,ストロベリー -> ミルク,バニラ/ミルク チョコレート
ストロベリー||ライチ,ストロベリー,ライチ,1,1,https://shisha-lagos.com/af-strawberry-review/,ストロベリー,ライチ(Afzal),ストロベリー -> ライチ,ブルーベリー/ラズベリー ココナッツ/グレナデン ライチ(Afzal)
ストロベリー||ラズベリー,ストロベリー,ラズベリー,1,1,https://shisha-lagos.com/af-strawberry-review/,ストロベリー,ラズベリー,ストロベリー -> ラズベリー,ブルーベリー/ラズベリー ココナッツ/グレナデン ライチ(Afzal)
ストロベリー||ローズ,ストロベリー,ローズ,1,1,https://shisha-lagos.com/af-strawberry-review/,ストロベリー,ローズ,ストロベリー -> ローズ,シナモン/ローズ
チョコレート||ミント,チョコレート,ミント,1,1,https://shisha-lagos.com/af-mint-review/,ミント,チョコレート,ミント -> チョコレート,バニラ/ミルク チョコレート
ハニー||ピーチ,ハニー,ピーチ,1,1,https://shisha-lagos.com/af-peach-review/,ピーチ,ハニー,ピーチ -> ハニー,バニラ/ミルク ハニー/ミルクティー
バナナ||バニラ,バナナ,バニラ,1,1,https://shisha-lagos.com/af-vanilla-review/,バニラ,バナナ,バニラ -> バナナ,ストロベリー/バナナ ピーチ/マンゴー ブルーベリー/ライチ 洋ナシ/ラズベリー メロン/すいか ココナッツ/オレンジ
バナナ||ピーチ,バナナ,ピーチ,1,1,https://shisha-lagos.com/af-peach-review/,ピーチ,バナナ,ピーチ -> バナナ,マンゴー/ココナッツ オレンジ/バナナ/ グアバ/ライチ グレナデン/レモン パッションフルーツ
バニラ||ミルク,バニラ,ミルク,1,1,https://shisha-lagos.com/af-vanilla-review/,バニラ,ミルク,バニラ -> ミルク,ミルク/コーヒー キャラメル ミルクティ
バニラ||ミント,バニラ,ミント,1,1,https://shisha-lagos.com/af-mint-review/,ミント,バニラ,ミント -> バニラ,バニラ/ミルク チョコレート
バニラ||ライチ,バニラ,ライチ,1,1,https://shisha-lagos.com/af-vanilla-review/,バニラ,ライチ,バニラ -> ライチ,ストロベリー/バナナ ピーチ/マンゴー ブルーベリー/ライチ 洋ナシ/ラズベリー メロン/すいか ココナッツ/オレンジ
バニラ||ラズベリー,バニラ,ラズベリー,1,1,https://shisha-lagos.com/af-vanilla-review/,バニラ,ラズベリー,バニラ -> ラズベリー,ストロベリー/バナナ ピーチ/マンゴー ブルーベリー/ライチ 洋ナシ/ラズベリー メロン/すいか ココナッツ/オレンジ
バニラ||ローズ,バニラ,ローズ,1,1,https://shisha-lagos.com/af-vanilla-review/,バニラ,ローズ,バニラ -> ローズ,チャイ/シナモン カルダモン アールグレイ ローズ
パッションフルーツ||ピーチ,パッションフルーツ,ピーチ,1,1,https://shisha-lagos.com/af-peach-review/,ピーチ,パッションフルーツ,ピーチ -> パッションフルーツ,マンゴー/ココナッツ オレンジ/バナナ/ グアバ/ライチ グレナデン/レモン パッションフルーツ
パッションフルーツ||ブルーベリー,パッションフルーツ,ブルーベリー,1,1,https://shisha-lagos.com/af-blueberry-review/,ブルーベリー,パッションフルーツ,ブルーベリー -> パッションフルーツ,ストロベリー/ザクロ ライチ パッションフルーツ ラズベリー/グアバ レモン/ココナッツ グレープ
パッションフルーツ||マンゴー,パッションフルーツ,マンゴー,1,1,https://shisha-lagos.com/af-mango-review/,マンゴー,パッションフルーツ,マンゴー -> パッションフルーツ,ピーチ/グアバ レモン/オレンジ ゆず/グレープ パッションフルーツ パイン/ココナッツ
パッションフルーツ||ミント,パッションフルーツ,ミント,1,1,https://shisha-lagos.com/af-mint-review/,ミント,パッションフルーツ,ミント -> パッションフルーツ,レモン/ライム/オレンジ グレープフルーツ/ゆず グアバ/マンゴー/ピーチ ブルーベリー/ラズベリー ライチ/キウイ/プラム パッションフルーツ パイン
ピーチ||ミルク,ピーチ,ミルク,1,1,https://shisha-lagos.com/af-peach-review/,ピーチ,ミルク,ピーチ -> ミルク,バニラ/ミルク ハニー/ミルクティー
ピーチ||ミント,ピーチ,ミント,1,1,https://shisha-lagos.com/af-mint-review/,ミント,ピーチ,ミント -> ピーチ,レモン/ライム/オレンジ グレープフルーツ/ゆず グアバ/マンゴー/ピーチ ブルーベリー/ラズベリー ライチ/キウイ/プラム パッションフルーツ パイン
ピーチ||メロン,ピーチ,メロン,1,1,https://shisha-lagos.com/af-melon-review/,メロン,ピーチ,メロン -> ピーチ,スイカ/グアバ オレンジ/レモン ピーチ/ココナッツ ライチ/マンゴー
ピーチ||ライチ,ピーチ,ライチ,1,1,https://shisha-lagos.com/af-peach-review/,ピーチ,ライチ,ピーチ -> ライチ,マンゴー/ココナッツ オレンジ/バナナ/ グアバ/ライチ グレナデン/レモン パッションフルーツ
