flavor_a,flavor_b,LAGOS出現記事数,LAGOS出現行数,記事URL,target_flavor,recommended_flavor,source_text,辞書登録状況,既存ランキングに存在しない理由の候補,directed_pair,mix_pair_key
バニラ,メロン,2,2,https://shisha-lagos.com/af-melon-review/ | https://shisha-lagos.com/af-vanilla-review/,バニラ | メロン,バニラ | メロン,ストロベリー/バナナ ピーチ/マンゴー ブルーベリー/ライチ 洋ナシ/ラズベリー メロン/すいか ココナッツ/オレンジ || バニラ/ミルク キャラメル,registered,共起なし,バニラ -> メロン | メロン -> バニラ,バニラ||メロン
アールグレイ,オレンジ,1,1,https://shisha-lagos.com/af-orange-review/,オレンジ,アールグレイ,カルダモン シナモン ジンジャーエール アールグレイ ジャスミン,registered,共起なし,オレンジ -> アールグレイ,アールグレイ||オレンジ
アールグレイ,ココナッツ,1,1,https://shisha-lagos.com/af-coconut-review/,ココナッツ,アールグレイ,カルダモン ジンジャーエール アールグレイ シナモン,registered,共起なし,ココナッツ -> アールグレイ,アールグレイ||ココナッツ
アールグレイ,バニラ,1,1,https://shisha-lagos.com/af-vanilla-review/,バニラ,アールグレイ,チャイ/シナモン カルダモン アールグレイ ローズ,registered,ランキング対象外:no_same_sentence_context,バニラ -> アールグレイ,アールグレイ||バニラ
アールグレイ,ピーチ,1,1,https://shisha-lagos.com/af-peach-review/,ピーチ,アールグレイ,カルダモン/ジャスミン アールグレイ/ローズ,registered,共起なし,ピーチ -> アールグレイ,アールグレイ||ピーチ
アールグレイ,マンゴー,1,1,https://shisha-lagos.com/af-mango-review/,マンゴー,アールグレイ,ジンジャーエール カルダモン アールグレイ,registered,共起なし,マンゴー -> アールグレイ,アールグレイ||マンゴー
アールグレイ,ミント,1,1,https://shisha-lagos.com/af-mint-review/,ミント,アールグレイ,シナモン アールグレイ カルダモン ローズ ジャスミン,registered,共起なし,ミント -> アールグレイ,アールグレイ||ミント
オレンジ,カルダモン,1,1,https://shisha-lagos.com/af-orange-review/,オレンジ,カルダモン,カルダモン シナモン ジンジャーエール アールグレイ ジャスミン,registered,共起なし,オレンジ -> カルダモン,オレンジ||カルダモン
オレンジ,シナモン,1,1,https://shisha-lagos.com/af-orange-review/,オレンジ,シナモン,カルダモン シナモン ジンジャーエール アールグレイ ジャスミン,片方または両方が既存コーパス未出現,既存コーパスで出現なし:シナモン,オレンジ -> シナモン,オレンジ||シナモン
オレンジ,ジャスミン,1,1,https://shisha-lagos.com/af-orange-review/,オレンジ,ジャスミン,カルダモン シナモン ジンジャーエール アールグレイ ジャスミン,registered,共起なし,オレンジ -> ジャスミン,オレンジ||ジャスミン
オレンジ,ジンジャーエール,1,1,https://shisha-lagos.com/af-orange-review/,オレンジ,ジンジャーエール,カルダモン シナモン ジンジャーエール アールグレイ ジャスミン,片方または両方が既存コーパス未出現,既存コーパスで出現なし:ジンジャーエール,オレンジ -> ジンジャーエール,オレンジ||ジンジャーエール
オレンジ,チョコレート,1,1,https://shisha-lagos.com/af-orange-review/,オレンジ,チョコレート,バニラ/ミルク チョコレート,registered,共起なし,オレンジ -> チョコレート,オレンジ||チョコレート
オレンジ,パッションフルーツ,1,1,https://shisha-lagos.com/af-orange-review/,オレンジ,パッションフルーツ,レモン/ライム グレープフルーツ パッションフルーツ グアバ/マンゴー ピーチ/グレナデン パイン/りんご メロン,registered,共起なし,オレンジ -> パッションフルーツ,オレンジ||パッションフルーツ
オレンジ,ミルク,1,1,https://shisha-lagos.com/af-orange-review/,オレンジ,ミルク,バニラ/ミルク チョコレート,registered,共起なし,オレンジ -> ミルク,オレンジ||ミルク
オレンジ,ミント,1,1,https://shisha-lagos.com/af-mint-review/,ミント,オレンジ,レモン/ライム/オレンジ グレープフルーツ/ゆず グアバ/マンゴー/ピーチ ブルーベリー/ラズベリー ライチ/キウイ/プラム パッションフルーツ パイン,registered,ランキング対象外:no_same_sentence_context,ミント -> オレンジ,オレンジ||ミント
オレンジ,ライム,1,1,https://shisha-lagos.com/af-orange-review/,オレンジ,ライム,レモン/ライム グレープフルーツ パッションフルーツ グアバ/マンゴー ピーチ/グレナデン パイン/りんご メロン,registered,共起なし,オレンジ -> ライム,オレンジ||ライム
カルダモン,キウイ,1,1,https://shisha-lagos.com/af-kiwi-review/,キウイ,カルダモン,ジンジャーエール レモングラス カルダモン,registered,共起なし,キウイ -> カルダモン,カルダモン||キウイ
カルダモン,グレープフルーツ,1,1,https://shisha-lagos.com/af-grapefruit-review/,グレープフルーツ,カルダモン,ジャスミン カルダモン ツーアップル,registered,共起なし,グレープフルーツ -> カルダモン,カルダモン||グレープフルーツ
カルダモン,ココナッツ,1,1,https://shisha-lagos.com/af-coconut-review/,ココナッツ,カルダモン,カルダモン ジンジャーエール アールグレイ シナモン,registered,共起なし,ココナッツ -> カルダモン,カルダモン||ココナッツ
カルダモン,バニラ,1,1,https://shisha-lagos.com/af-vanilla-review/,バニラ,カルダモン,チャイ/シナモン カルダモン アールグレイ ローズ,registered,共起なし,バニラ -> カルダモン,カルダモン||バニラ
カルダモン,ピーチ,1,1,https://shisha-lagos.com/af-peach-review/,ピーチ,カルダモン,カルダモン/ジャスミン アールグレイ/ローズ,registered,共起なし,ピーチ -> カルダモン,カルダモン||ピーチ
カルダモン,ブルーベリー,1,1,https://shisha-lagos.com/af-blueberry-review/,ブルーベリー,カルダモン,シナモン/カルダモン ジャスミン/ローズ,registered,共起なし,ブルーベリー -> カルダモン,カルダモン||ブルーベリー
カルダモン,マンゴー,1,1,https://shisha-lagos.com/af-mango-review/,マンゴー,カルダモン,ジンジャーエール カルダモン アールグレイ,registered,共起なし,マンゴー -> カルダモン,カルダモン||マンゴー
カルダモン,ミント,1,1,https://shisha-lagos.com/af-mint-review/,ミント,カルダモン,シナモン アールグレイ カルダモン ローズ ジャスミン,registered,共起なし,ミント -> カルダモン,カルダモン||ミント
カルダモン,メロン,1,1,https://shisha-lagos.com/af-melon-review/,メロン,カルダモン,カルダモン シナモン ローズ,registered,共起なし,メロン -> カルダモン,カルダモン||メロン
キウイ,グアバ,1,1,https://shisha-lagos.com/af-kiwi-review/,キウイ,グアバ,レモン/ライム グレナデン/グレープ パッションフルーツ グアバ,registered,共起なし,キウイ -> グアバ,キウイ||グアバ
キウイ,グレープ,1,1,https://shisha-lagos.com/af-kiwi-review/,キウイ,グレープ,レモン/ライム グレナデン/グレープ パッションフルーツ グアバ,registered,共起なし,キウイ -> グレープ,キウイ||グレープ
キウイ,ジンジャーエール,1,1,https://shisha-lagos.com/af-kiwi-review/,キウイ,ジンジャーエール,ジンジャーエール レモングラス カルダモン,片方または両方が既存コーパス未出現,既存コーパスで出現なし:ジンジャーエール,キウイ -> ジンジャーエール,キウイ||ジンジャーエール
キウイ,パッションフルーツ,1,1,https://shisha-lagos.com/af-kiwi-review/,キウイ,パッションフルーツ,レモン/ライム グレナデン/グレープ パッションフルーツ グアバ,registered,共起なし,キウイ -> パッションフルーツ,キウイ||パッションフルーツ
キウイ,ミント,1,1,https://shisha-lagos.com/af-mint-review/,ミント,キウイ,レモン/ライム/オレンジ グレープフルーツ/ゆず グアバ/マンゴー/ピーチ ブルーベリー/ラズベリー ライチ/キウイ/プラム パッションフルーツ パイン,registered,共起なし,ミント -> キウイ,キウイ||ミント
キウイ,ライム,1,1,https://shisha-lagos.com/af-kiwi-review/,キウイ,ライム,レモン/ライム グレナデン/グレープ パッションフルーツ グアバ,registered,共起なし,キウイ -> ライム,キウイ||ライム
キウイ,レモン,1,1,https://shisha-lagos.com/af-kiwi-review/,キウイ,レモン,レモン/ライム グレナデン/グレープ パッションフルーツ グアバ,registered,共起なし,キウイ -> レモン,キウイ||レモン
キウイ,レモングラス,1,1,https://shisha-lagos.com/af-kiwi-review/,キウイ,レモングラス,ジンジャーエール レモングラス カルダモン,片方または両方が既存コーパス未出現,既存コーパスで出現なし:レモングラス,キウイ -> レモングラス,キウイ||レモングラス
キャラメル,ブルーベリー,1,1,https://shisha-lagos.com/af-blueberry-review/,ブルーベリー,キャラメル,バニラ/ミルク キャラメル,registered,共起なし,ブルーベリー -> キャラメル,キャラメル||ブルーベリー
キャラメル,メロン,1,1,https://shisha-lagos.com/af-melon-review/,メロン,キャラメル,バニラ/ミルク キャラメル,registered,共起なし,メロン -> キャラメル,キャラメル||メロン
グアバ,ピーチ,1,1,https://shisha-lagos.com/af-peach-review/,ピーチ,グアバ,マンゴー/ココナッツ オレンジ/バナナ/ グアバ/ライチ グレナデン/レモン パッションフルーツ,registered,共起なし,ピーチ -> グアバ,グアバ||ピーチ
グアバ,マンゴー,1,1,https://shisha-lagos.com/af-mango-review/,マンゴー,グアバ,ピーチ/グアバ レモン/オレンジ ゆず/グレープ パッションフルーツ パイン/ココナッツ,registered,共起なし,マンゴー -> グアバ,グアバ||マンゴー
グアバ,メロン,1,1,https://shisha-lagos.com/af-melon-review/,メロン,グアバ,スイカ/グアバ オレンジ/レモン ピーチ/ココナッツ ライチ/マンゴー,registered,共起なし,メロン -> グアバ,グアバ||メロン
グレープ,ブルーベリー,1,1,https://shisha-lagos.com/af-blueberry-review/,ブルーベリー,グレープ,ストロベリー/ザクロ ライチ パッションフルーツ ラズベリー/グアバ レモン/ココナッツ グレープ,registered,共起なし,ブルーベリー -> グレープ,グレープ||ブルーベリー
グレープ,マンゴー,1,1,https://shisha-lagos.com/af-mango-review/,マンゴー,グレープ,ピーチ/グアバ レモン/オレンジ ゆず/グレープ パッションフルーツ パイン/ココナッツ,registered,共起なし,マンゴー -> グレープ,グレープ||マンゴー
グレープフルーツ,ジャスミン,1,1,https://shisha-lagos.com/af-grapefruit-review/,グレープフルーツ,ジャスミン,ジャスミン カルダモン ツーアップル,registered,共起なし,グレープフルーツ -> ジャスミン,グレープフルーツ||ジャスミン
グレープフルーツ,ツーアップル,1,1,https://shisha-lagos.com/af-grapefruit-review/,グレープフルーツ,ツーアップル,ジャスミン カルダモン ツーアップル,registered,共起なし,グレープフルーツ -> ツーアップル,グレープフルーツ||ツーアップル
グレープフルーツ,ハニー,1,1,https://shisha-lagos.com/af-grapefruit-review/,グレープフルーツ,ハニー,ハニー,registered,共起なし,グレープフルーツ -> ハニー,グレープフルーツ||ハニー
グレープフルーツ,パッションフルーツ,1,1,https://shisha-lagos.com/af-grapefruit-review/,グレープフルーツ,パッションフルーツ,レモン/オレンジ グアバ/グレープ グレナデン/ピーチ パッションフルーツ,registered,ランキング対象外:no_same_sentence_context,グレープフルーツ -> パッションフルーツ,グレープフルーツ||パッションフルーツ
グレープフルーツ,ピーチ,1,1,https://shisha-lagos.com/af-grapefruit-review/,グレープフルーツ,ピーチ,レモン/オレンジ グアバ/グレープ グレナデン/ピーチ パッションフルーツ,registered,共起なし,グレープフルーツ -> ピーチ,グレープフルーツ||ピーチ
グレープフルーツ,ミント,1,1,https://shisha-lagos.com/af-mint-review/,ミント,グレープフルーツ,レモン/ライム/オレンジ グレープフルーツ/ゆず グアバ/マンゴー/ピーチ ブルーベリー/ラズベリー ライチ/キウイ/プラム パッションフルーツ パイン,registered,ランキング対象外:no_same_sentence_context,ミント -> グレープフルーツ,グレープフルーツ||ミント
ココナッツ,シナモン,1,1,https://shisha-lagos.com/af-coconut-review/,ココナッツ,シナモン,カルダモン ジンジャーエール アールグレイ シナモン,片方または両方が既存コーパス未出現,既存コーパスで出現なし:シナモン,ココナッツ -> シナモン,ココナッツ||シナモン
ココナッツ,ジンジャーエール,1,1,https://shisha-lagos.com/af-coconut-review/,ココナッツ,ジンジャーエール,カルダモン ジンジャーエール アールグレイ シナモン,片方または両方が既存コーパス未出現,既存コーパスで出現なし:ジンジャーエール,ココナッツ -> ジンジャーエール,ココナッツ||ジンジャーエール
ココナッツ,チョコレート,1,1,https://shisha-lagos.com/af-coconut-review/,ココナッツ,チョコレート,バニラ/ミルク キャラメル/コーヒー チョコレート,registered,共起なし,ココナッツ -> チョコレート,ココナッツ||チョコレート
ココナッツ,ミルク,1,1,https://shisha-lagos.com/af-coconut-review/,ココナッツ,ミルク,バニラ/ミルク キャラメル/コーヒー チョコレート,registered,共起なし,ココナッツ -> ミルク,ココナッツ||ミルク
ココナッツ,ライチ,1,1,https://shisha-lagos.com/af-coconut-review/,ココナッツ,ライチ,ピーチ/マンゴー パイン/ライチ ストロベリー/レモン ブルーベリー/メロン ライム,registered,共起なし,ココナッツ -> ライチ,ココナッツ||ライチ
ココナッツ,ライム,1,1,https://shisha-lagos.com/af-coconut-review/,ココナッツ,ライム,ピーチ/マンゴー パイン/ライチ ストロベリー/レモン ブルーベリー/メロン ライム,registered,共起なし,ココナッツ -> ライム,ココナッツ||ライム
ココナッツ,レモン,1,1,https://shisha-lagos.com/af-coconut-review/,ココナッツ,レモン,ピーチ/マンゴー パイン/ライチ ストロベリー/レモン ブルーベリー/メロン ライム,registered,共起なし,ココナッツ -> レモン,ココナッツ||レモン
ザクロ,ブルーベリー,1,1,https://shisha-lagos.com/af-blueberry-review/,ブルーベリー,ザクロ,ストロベリー/ザクロ ライチ パッションフルーツ ラズベリー/グアバ レモン/ココナッツ グレープ,registered,共起なし,ブルーベリー -> ザクロ,ザクロ||ブルーベリー
シナモン,ストロベリー,1,1,https://shisha-lagos.com/af-strawberry-review/,ストロベリー,シナモン,シナモン/ローズ,片方または両方が既存コーパス未出現,既存コーパスで出現なし:シナモン|ストロベリー,ストロベリー -> シナモン,シナモン||ストロベリー
シナモン,バニラ,1,1,https://shisha-lagos.com/af-vanilla-review/,バニラ,シナモン,チャイ/シナモン カルダモン アールグレイ ローズ,片方または両方が既存コーパス未出現,既存コーパスで出現なし:シナモン,バニラ -> シナモン,シナモン||バニラ
シナモン,ブルーベリー,1,1,https://shisha-lagos.com/af-blueberry-review/,ブルーベリー,シナモン,シナモン/カルダモン ジャスミン/ローズ,片方または両方が既存コーパス未出現,既存コーパスで出現なし:シナモン,ブルーベリー -> シナモン,シナモン||ブルーベリー
シナモン,ミント,1,1,https://shisha-lagos.com/af-mint-review/,ミント,シナモン,シナモン アールグレイ カルダモン ローズ ジャスミン,片方または両方が既存コーパス未出現,既存コーパスで出現なし:シナモン,ミント -> シナモン,シナモン||ミント
シナモン,メロン,1,1,https://shisha-lagos.com/af-melon-review/,メロン,シナモン,カルダモン シナモン ローズ,片方または両方が既存コーパス未出現,既存コーパスで出現なし:シナモン,メロン -> シナモン,シナモン||メロン
ジャスミン,ピーチ,1,1,https://shisha-lagos.com/af-peach-review/,ピーチ,ジャスミン,カルダモン/ジャスミン アールグレイ/ローズ,registered,共起なし,ピーチ -> ジャスミン,ジャスミン||ピーチ
ジャスミン,ブルーベリー,1,1,https://shisha-lagos.com/af-blueberry-review/,ブルーベリー,ジャスミン,シナモン/カルダモン ジャスミン/ローズ,registered,共起なし,ブルーベリー -> ジャスミン,ジャスミン||ブルーベリー
ジンジャーエール,マンゴー,1,1,https://shisha-lagos.com/af-mango-review/,マンゴー,ジンジャーエール,ジンジャーエール カルダモン アールグレイ,片方または両方が既存コーパス未出現,既存コーパスで出現なし:ジンジャーエール,マンゴー -> ジンジャーエール,ジンジャーエール||マンゴー
ストロベリー,チョコレート,1,1,https://shisha-lagos.com/af-strawberry-review/,ストロベリー,チョコレート,バニラ/ミルク チョコレート,片方または両方が既存コーパス未出現,既存コーパスで出現なし:ストロベリー,ストロベリー -> チョコレート,ストロベリー||チョコレート
ストロベリー,ミルク,1,1,https://shisha-lagos.com/af-strawberry-review/,ストロベリー,ミルク,バニラ/ミルク チョコレート,片方または両方が既存コーパス未出現,既存コーパスで出現なし:ストロベリー,ストロベリー -> ミルク,ストロベリー||ミルク
ストロベリー,ライチ,1,1,https://shisha-lagos.com/af-strawberry-review/,ストロベリー,ライチ(Afzal),ブルーベリー/ラズベリー ココナッツ/グレナデン ライチ(Afzal),片方または両方が既存コーパス未出現,既存コーパスで出現なし:ストロベリー,ストロベリー -> ライチ,ストロベリー||ライチ
ストロベリー,ラズベリー,1,1,https://shisha-lagos.com/af-strawberry-review/,ストロベリー,ラズベリー,ブルーベリー/ラズベリー ココナッツ/グレナデン ライチ(Afzal),片方または両方が既存コーパス未出現,既存コーパスで出現なし:ストロベリー|ラズベリー,ストロベリー -> ラズベリー,ストロベリー||ラズベリー
ストロベリー,ローズ,1,1,https://shisha-lagos.com/af-strawberry-review/,ストロベリー,ローズ,シナモン/ローズ,片方または両方が既存コーパス未出現,既存コーパスで出現なし:ストロベリー|ローズ,ストロベリー -> ローズ,ストロベリー||ローズ
チョコレート,ミント,1,1,https://shisha-lagos.com/af-mint-review/,ミント,チョコレート,バニラ/ミルク チョコレート,registered,ランキング対象外:no_same_sentence_context,ミント -> チョコレート,チョコレート||ミント
ハニー,ピーチ,1,1,https://shisha-lagos.com/af-peach-review/,ピーチ,ハニー,バニラ/ミルク ハニー/ミルクティー,registered,共起なし,ピーチ -> ハニー,ハニー||ピーチ
バナナ,バニラ,1,1,https://shisha-lagos.com/af-vanilla-review/,バニラ,バナナ,ストロベリー/バナナ ピーチ/マンゴー ブルーベリー/ライチ 洋ナシ/ラズベリー メロン/すいか ココナッツ/オレンジ,registered,共起なし,バニラ -> バナナ,バナナ||バニラ
バナナ,ピーチ,1,1,https://shisha-lagos.com/af-peach-review/,ピーチ,バナナ,マンゴー/ココナッツ オレンジ/バナナ/ グアバ/ライチ グレナデン/レモン パッションフルーツ,registered,共起なし,ピーチ -> バナナ,バナナ||ピーチ
バニラ,ライチ,1,1,https://shisha-lagos.com/af-vanilla-review/,バニラ,ライチ,ストロベリー/バナナ ピーチ/マンゴー ブルーベリー/ライチ 洋ナシ/ラズベリー メロン/すいか ココナッツ/オレンジ,registered,共起なし,バニラ -> ライチ,バニラ||ライチ
バニラ,ラズベリー,1,1,https://shisha-lagos.com/af-vanilla-review/,バニラ,ラズベリー,ストロベリー/バナナ ピーチ/マンゴー ブルーベリー/ライチ 洋ナシ/ラズベリー メロン/すいか ココナッツ/オレンジ,片方または両方が既存コーパス未出現,既存コーパスで出現なし:ラズベリー,バニラ -> ラズベリー,バニラ||ラズベリー
バニラ,ローズ,1,1,https://shisha-lagos.com/af-vanilla-review/,バニラ,ローズ,チャイ/シナモン カルダモン アールグレイ ローズ,片方または両方が既存コーパス未出現,既存コーパスで出現なし:ローズ,バニラ -> ローズ,バニラ||ローズ
パッションフルーツ,ピーチ,1,1,https://shisha-lagos.com/af-peach-review/,ピーチ,パッションフルーツ,マンゴー/ココナッツ オレンジ/バナナ/ グアバ/ライチ グレナデン/レモン パッションフルーツ,registered,共起なし,ピーチ -> パッションフルーツ,パッションフルーツ||ピーチ
パッションフルーツ,ブルーベリー,1,1,https://shisha-lagos.com/af-blueberry-review/,ブルーベリー,パッションフルーツ,ストロベリー/ザクロ ライチ パッションフルーツ ラズベリー/グアバ レモン/ココナッツ グレープ,registered,共起なし,ブルーベリー -> パッションフルーツ,パッションフルーツ||ブルーベリー
パッションフルーツ,マンゴー,1,1,https://shisha-lagos.com/af-mango-review/,マンゴー,パッションフルーツ,ピーチ/グアバ レモン/オレンジ ゆず/グレープ パッションフルーツ パイン/ココナッツ,registered,共起なし,マンゴー -> パッションフルーツ,パッションフルーツ||マンゴー
パッションフルーツ,ミント,1,1,https://shisha-lagos.com/af-mint-review/,ミント,パッションフルーツ,レモン/ライム/オレンジ グレープフルーツ/ゆず グアバ/マンゴー/ピーチ ブルーベリー/ラズベリー ライチ/キウイ/プラム パッションフルーツ パイン,registered,ランキング対象外:no_same_sentence_context,ミント -> パッションフルーツ,パッションフルーツ||ミント
ピーチ,ミルク,1,1,https://shisha-lagos.com/af-peach-review/,ピーチ,ミルク,バニラ/ミルク ハニー/ミルクティー,registered,共起なし,ピーチ -> ミルク,ピーチ||ミルク
ピーチ,ミント,1,1,https://shisha-lagos.com/af-mint-review/,ミント,ピーチ,レモン/ライム/オレンジ グレープフルーツ/ゆず グアバ/マンゴー/ピーチ ブルーベリー/ラズベリー ライチ/キウイ/プラム パッションフルーツ パイン,registered,共起なし,ミント -> ピーチ,ピーチ||ミント
ピーチ,メロン,1,1,https://shisha-lagos.com/af-melon-review/,メロン,ピーチ,スイカ/グアバ オレンジ/レモン ピーチ/ココナッツ ライチ/マンゴー,registered,共起なし,メロン -> ピーチ,ピーチ||メロン
ピーチ,ライチ,1,1,https://shisha-lagos.com/af-peach-review/,ピーチ,ライチ,マンゴー/ココナッツ オレンジ/バナナ/ グアバ/ライチ グレナデン/レモン パッションフルーツ,registered,共起なし,ピーチ -> ライチ,ピーチ||ライチ
ピーチ,レモン,1,1,https://shisha-lagos.com/af-peach-review/,ピーチ,レモン,マンゴー/ココナッツ オレンジ/バナナ/ グアバ/ライチ グレナデン/レモン パッションフルーツ,registered,共起なし,ピーチ -> レモン,ピーチ||レモン
